year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,24.0,19.0,15.0,12.0,11.0,12.0,12.0,13.0,13.0,15.0,19.0,11.0,13.0,0.54
2000/01,Fall,24,18,14,12,12,13,12,12,13,13,16,12,12,0.5
2000/01,Winter,24,19,17,13,12,14,13,12,12,14,16,12,12,0.5
2000/01,Spring,24.0,20.0,18.0,14.0,12.0,12.0,13.0,14.0,13.0,15.0,18.0,12.0,12.0,0.5
2001/02,Summer,24.0,19.0,16.0,14.0,13.0,13.0,12.0,12.0,14.0,16.0,17.0,12.0,12.0,0.5
2001/02,Fall,26,18,10,5,6,7,8,10,9,13,16,5,21,0.81
2001/02,Winter,30,23,21,16,15,15,15,16,16,17,21,15,15,0.5
2001/02,Spring,31.0,24.0,19.0,17.0,15.0,17.0,16.0,17.0,17.0,19.0,22.0,15.0,16.0,0.52
2002/03,Summer,32.0,24.0,20.0,19.0,18.0,17.0,17.0,17.0,19.0,23.0,27.0,17.0,15.0,0.47
2002/03,Fall,32,25,19,14,13,14,14,13,16,18,22,13,19,0.59
2002/03,Winter,32,23,17,11,9,10,10,9,11,16,22,9,23,0.72
2002/03,Spring,32.0,22.0,13.0,7.0,8.0,9.0,11.0,10.0,11.0,17.0,22.0,7.0,25.0,0.78
2003/04,Summer,31.0,22.0,18.0,14.0,15.0,15.0,14.0,14.0,16.0,20.0,24.0,14.0,17.0,0.55
2003/04,Fall,31,15,9,6,6,9,9,10,11,17,21,6,25,0.81
2003/04,Winter,31,19,13,9,8,7,8,9,12,17,21,7,24,0.77
2003/04,Spring,31.0,19.0,13.0,9.0,9.0,9.0,10.0,10.0,10.0,16.0,21.0,9.0,22.0,0.71
2004/05,Summer,31.0,20.0,13.0,9.0,8.0,10.0,10.0,11.0,12.0,16.0,20.0,8.0,23.0,0.74
2004/05,Fall,31,20,13,9,10,11,12,10,13,18,23,9,22,0.71
2004/05,Winter,31,20,13,10,7,8,9,11,12,18,20,7,24,0.77
2004/05,Spring,30.0,17.0,10.0,8.0,6.0,6.0,7.0,10.0,11.0,17.0,23.0,6.0,24.0,0.8
2005/06,Summer,30.0,17.0,13.0,11.0,11.0,12.0,13.0,13.0,16.0,20.0,25.0,11.0,19.0,0.63
2005/06,Fall,30,14,8,7,8,10,9,9,12,19,22,7,23,0.77
2005/06,Winter,30,14,8,6,6,5,7,9,12,20,23,5,25,0.83
2005/06,Spring,30.0,12.0,5.0,3.0,3.0,3.0,4.0,8.0,11.0,15.0,21.0,3.0,27.0,0.9
2006/07,Summer,30.0,13.0,9.0,7.0,6.0,7.0,8.0,10.0,14.0,20.0,24.0,6.0,24.0,0.8
2006/07,Fall,30,14,8,5,5,7,7,8,9,16,22,5,25,0.83
2006/07,Winter,34,17,11,8,8,10,9,8,11,17,22,8,26,0.76
2006/07,Spring,34.0,18.0,11.0,9.0,7.0,8.0,9.0,9.0,12.0,15.0,20.0,7.0,27.0,0.79
2007/08,Summer,34.0,20.0,14.0,10.0,10.0,11.0,11.0,11.0,15.0,18.0,25.0,10.0,24.0,0.71
2007/08,Fall,34,16,11,9,7,10,9,10,14,20,26,7,27,0.79
2007/08,Winter,34,20,11,6,7,8,10,12,13,20,25,6,28,0.82
2007/08,Spring,34.0,22.0,15.0,10.0,8.0,10.0,8.0,10.0,13.0,18.0,24.0,8.0,26.0,0.76
2008/09,Summer,34.0,22.0,16.0,12.0,9.0,12.0,13.0,13.0,17.0,20.0,25.0,9.0,25.0,0.74
2008/09,Fall,34,17,14,5,7,7,8,9,11,17,22,5,29,0.85
2008/09,Winter,34,20,12,7,7,8,9,9,12,17,24,7,27,0.79
