year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,1812.0,1139.0,831.0,595.0,442.0,443.0,461.0,480.0,557.0,713.0,1025.0,442.0,1370.0,0.76
2000/01,Fall,1825,1032,589,271,173,174,203,224,342,505,809,173,1652,0.91
2000/01,Winter,1825,1046,638,349,239,235,254,261,362,551,896,235,1590,0.87
2000/01,Spring,1825.0,1093.0,662.0,434.0,298.0,287.0,304.0,308.0,404.0,533.0,801.0,287.0,1538.0,0.84
2001/02,Summer,1825.0,1331.0,1039.0,842.0,750.0,774.0,783.0,815.0,855.0,958.0,1173.0,750.0,1075.0,0.59
2001/02,Fall,1823,1140,669,386,279,296,314,378,461,628,826,279,1544,0.85
2001/02,Winter,1649,985,540,233,110,151,162,185,260,436,737,110,1539,0.93
2001/02,Spring,1646.0,986.0,592.0,268.0,125.0,126.0,163.0,186.0,276.0,442.0,701.0,125.0,1521.0,0.92
2002/03,Summer,1644.0,1131.0,884.0,657.0,528.0,531.0,556.0,581.0,635.0,744.0,953.0,528.0,1116.0,0.68
2002/03,Fall,1644,937,430,179,96,155,178,193,270,479,731,96,1548,0.94
2002/03,Winter,1644,950,441,134,58,138,151,174,253,463,774,58,1586,0.96
2002/03,Spring,1618.0,920.0,447.0,160.0,85.0,112.0,169.0,187.0,300.0,472.0,730.0,85.0,1533.0,0.95
2003/04,Summer,1561.0,1036.0,730.0,526.0,429.0,446.0,483.0,495.0,578.0,692.0,903.0,429.0,1132.0,0.73
2003/04,Fall,1387,717,237,78,57,86,131,132,215,341,556,57,1330,0.96
2003/04,Winter,1382,795,297,118,79,109,146,163,251,404,584,79,1303,0.94
2003/04,Spring,1382.0,763.0,357.0,156.0,105.0,126.0,163.0,178.0,263.0,438.0,644.0,105.0,1277.0,0.92
2004/05,Summer,1382.0,921.0,592.0,415.0,328.0,321.0,366.0,363.0,453.0,549.0,741.0,321.0,1061.0,0.77
2004/05,Fall,1382,784,353,144,91,137,169,178,265,412,607,91,1291,0.93
2004/05,Winter,1382,887,525,326,242,268,304,322,409,568,725,242,1140,0.82
2004/05,Spring,1365.0,915.0,621.0,393.0,295.0,303.0,318.0,332.0,419.0,543.0,743.0,295.0,1070.0,0.78
2005/06,Summer,1365.0,993.0,755.0,576.0,491.0,515.0,523.0,523.0,604.0,703.0,862.0,491.0,874.0,0.64
2005/06,Fall,1365,885,587,373,306,342,361,375,435,592,774,306,1059,0.78
2005/06,Winter,1365,846,521,312,227,264,289,327,401,568,761,227,1138,0.83
2005/06,Spring,1370.0,857.0,505.0,341.0,265.0,278.0,310.0,340.0,402.0,514.0,718.0,265.0,1105.0,0.81
2006/07,Summer,1373.0,994.0,722.0,550.0,450.0,463.0,485.0,491.0,544.0,664.0,832.0,450.0,923.0,0.67
2006/07,Fall,1390,917,499,304,230,290,316,336,395,523,692,230,1160,0.83
2006/07,Winter,1400,767,423,234,170,195,197,202,252,455,696,170,1230,0.88
2006/07,Spring,1398.0,826.0,553.0,302.0,185.0,195.0,219.0,218.0,275.0,406.0,616.0,185.0,1213.0,0.87
2007/08,Summer,1398.0,988.0,705.0,472.0,384.0,390.0,398.0,417.0,489.0,586.0,764.0,384.0,1014.0,0.73
2007/08,Fall,1398,857,469,218,138,179,230,226,315,414,619,138,1260,0.9
2007/08,Winter,1396,1024,570,282,169,174,240,247,280,405,576,169,1227,0.88
2007/08,Spring,1396.0,1071.0,636.0,337.0,208.0,209.0,235.0,244.0,292.0,401.0,585.0,208.0,1188.0,0.85
2008/09,Summer,1396.0,1134.0,793.0,550.0,424.0,411.0,428.0,437.0,466.0,537.0,729.0,411.0,985.0,0.71
2008/09,Fall,1396,964,620,271,186,187,222,227,266,367,559,186,1210,0.87
2008/09,Winter,1396,1007,574,282,180,191,224,223,274,389,635,180,1216,0.87
2008/09,Spring,994.0,628.0,233.0,82.0,44.0,60.0,87.0,82.0,119.0,234.0,411.0,44.0,950.0,0.96
2009/10,Summer,994.0,763.0,416.0,200.0,111.0,106.0,127.0,125.0,151.0,256.0,472.0,106.0,888.0,0.89
2009/10,Fall,967,579,208,64,42,57,74,80,117,204,401,42,925,0.96
2009/10,Winter,967,598,153,46,30,54,65,68,111,215,408,30,937,0.97
2009/10,Spring,962.0,528.0,188.0,100.0,90.0,91.0,116.0,100.0,131.0,216.0,406.0,90.0,872.0,0.91
2010/11,Summer,911.0,639.0,390.0,192.0,138.0,128.0,138.0,154.0,184.0,253.0,442.0,128.0,783.0,0.86
2010/11,Fall,974,609,261,114,90,101,121,120,150,223,405,90,884,0.91
2010/11,Winter,821,415,179,84,53,60,68,69,86,162,294,53,768,0.94
2010/11,Spring,822.0,329.0,161.0,84.0,54.0,67.0,77.0,73.0,88.0,175.0,355.0,54.0,768.0,0.93
2011/12,Summer,822.0,501.0,276.0,136.0,96.0,120.0,108.0,100.0,115.0,191.0,382.0,96.0,726.0,0.88
2011/12,Fall,828,388,182,92,78,81,81,83,101,182,323,78,750,0.91
2011/12,Winter,828,424,203,90,62,75,95,87,112,202,340,62,766,0.93
2011/12,Spring,826.0,464.0,211.0,101.0,64.0,64.0,77.0,92.0,101.0,192.0,320.0,64.0,762.0,0.92
2012/13,Summer,613.0,323.0,194.0,76.0,64.0,65.0,78.0,73.0,86.0,135.0,241.0,64.0,549.0,0.9
2012/13,Fall,619,308,148,66,51,55,73,61,80,151,264,51,568,0.92
2012/13,Winter,619,322,167,72,56,62,62,64,78,134,227,56,563,0.91
2012/13,Spring,619.0,239.0,137.0,60.0,51.0,57.0,63.0,72.0,83.0,151.0,243.0,51.0,568.0,0.92
2013/14,Summer,666.0,360.0,234.0,122.0,89.0,83.0,94.0,100.0,124.0,185.0,291.0,83.0,583.0,0.88
2013/14,Fall,666,314,164,72,52,56,65,69,100,139,230,52,614,0.92
2013/14,Winter,663,249,118,55,48,52,67,72,96,156,246,48,615,0.93
2013/14,Spring,663.0,329.0,164.0,74.0,69.0,71.0,83.0,94.0,107.0,157.0,245.0,69.0,594.0,0.9
2014/15,613,321,190,94,74,91,96,107,104,159,268,74,539,0.88
2014/15,660,314,144,60,58,68,93,97,104,151,284,58,602,0.91
2014/15,678,238,89,56,50,54,68,70,100,173,286,50,628,0.93
2014/15,726,404,181,65,64,66,67,70,99,162,292,64,662,0.91
