year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,59.0,43.0,33.0,26.0,25.0,26.0,27.0,26.0,32.0,34.0,38.0,25.0,34.0,0.58
2000/01,Fall,43,33,25,20,22,21,22,21,21,25,28,20,23,0.53
2000/01,Winter,43,30,25,20,18,19,21,18,20,22,28,18,25,0.58
2000/01,Spring,43.0,30.0,25.0,19.0,18.0,22.0,22.0,22.0,25.0,25.0,26.0,18.0,25.0,0.58
2001/02,Summer,43.0,30.0,25.0,22.0,19.0,24.0,23.0,28.0,27.0,30.0,32.0,19.0,24.0,0.56
2001/02,Fall,43,32,25,19,20,25,22,23,20,24,26,19,24,0.56
2001/02,Winter,41,30,25,20,19,19,18,18,20,23,28,18,23,0.56
2001/02,Spring,41.0,29.0,23.0,19.0,20.0,20.0,19.0,22.0,23.0,26.0,28.0,19.0,22.0,0.54
2002/03,Summer,41.0,31.0,26.0,23.0,22.0,22.0,24.0,24.0,27.0,26.0,31.0,22.0,19.0,0.46
2002/03,Fall,42,30,21,17,17,19,21,22,25,25,29,17,25,0.6
2002/03,Winter,42,33,25,18,15,16,15,21,22,26,30,15,27,0.64
2002/03,Spring,42.0,32.0,24.0,15.0,12.0,15.0,18.0,21.0,24.0,26.0,30.0,12.0,30.0,0.71
2003/04,Summer,42.0,32.0,27.0,17.0,17.0,19.0,26.0,27.0,29.0,31.0,35.0,17.0,25.0,0.6
2003/04,Fall,42,26,19,13,13,16,18,18,20,25,29,13,29,0.69
2003/04,Winter,42,28,21,17,15,18,18,20,21,24,29,15,27,0.64
2003/04,Spring,42.0,32.0,25.0,19.0,17.0,18.0,20.0,23.0,25.0,28.0,28.0,17.0,25.0,0.6
2004/05,Summer,42.0,34.0,30.0,25.0,26.0,24.0,25.0,25.0,28.0,28.0,31.0,24.0,18.0,0.43
2004/05,Fall,42,28,21,17,19,21,21,22,22,25,28,17,25,0.6
2004/05,Winter,42,25,18,16,16,19,17,18,22,26,30,16,26,0.62
