year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,610.0,277.0,152.0,76.0,39.0,43.0,50.0,61.0,85.0,160.0,325.0,39.0,571.0,0.94
2000/01,Fall,626,260,108,30,12,25,37,40,76,140,296,12,614,0.98
2000/01,Winter,626,248,116,32,10,25,34,38,71,152,334,10,616,0.98
2000/01,Spring,626.0,290.0,139.0,75.0,44.0,59.0,66.0,61.0,84.0,142.0,277.0,44.0,582.0,0.93
2001/02,Summer,626.0,357.0,227.0,162.0,128.0,140.0,143.0,152.0,176.0,235.0,360.0,128.0,498.0,0.8
2001/02,Fall,644,330,156,66,41,58,70,93,123,187,291,41,603,0.94
2001/02,Winter,618,303,126,30,5,35,40,40,70,145,292,5,613,0.99
2001/02,Spring,613.0,281.0,140.0,36.0,4.0,16.0,42.0,47.0,70.0,142.0,282.0,4.0,609.0,0.99
2002/03,Summer,605.0,341.0,241.0,146.0,96.0,97.0,101.0,115.0,140.0,192.0,322.0,96.0,509.0,0.84
2002/03,Fall,607,284,75,17,6,34,33,32,57,148,292,6,601,0.99
2002/03,Winter,642,324,108,1,1,34,41,45,73,158,329,1,641,1.0
2002/03,Spring,619.0,286.0,99.0,12.0,4.0,23.0,41.0,42.0,79.0,168.0,311.0,4.0,615.0,0.99
2003/04,Summer,701.0,449.0,313.0,209.0,158.0,163.0,181.0,185.0,216.0,282.0,423.0,158.0,543.0,0.77
2003/04,Fall,641,290,54,0,2,17,33,31,60,127,272,0,641,1.0
2003/04,Winter,633,332,69,14,12,27,40,47,85,177,286,12,621,0.98
2003/04,Spring,633.0,301.0,95.0,4.0,3.0,18.0,36.0,47.0,84.0,184.0,311.0,3.0,630.0,1.0
2004/05,Summer,633.0,402.0,244.0,153.0,105.0,93.0,120.0,125.0,158.0,211.0,328.0,93.0,540.0,0.85
2004/05,Fall,633,325,84,1,3,20,38,43,75,163,293,1,632,1.0
2004/05,Winter,761,472,248,130,91,112,142,155,223,337,453,91,670,0.88
2004/05,Spring,761.0,499.0,340.0,193.0,124.0,132.0,151.0,167.0,227.0,311.0,453.0,124.0,637.0,0.84
2005/06,Summer,761.0,562.0,435.0,333.0,284.0,290.0,299.0,298.0,349.0,418.0,524.0,284.0,477.0,0.63
2005/06,Fall,761,474,309,178,138,159,178,182,222,334,468,138,623,0.82
2005/06,Winter,761,468,274,133,89,115,133,159,208,326,465,89,672,0.88
2005/06,Spring,766.0,475.0,254.0,159.0,111.0,119.0,133.0,161.0,200.0,280.0,433.0,111.0,655.0,0.86
2006/07,Summer,798.0,589.0,445.0,338.0,278.0,281.0,298.0,303.0,342.0,415.0,536.0,278.0,520.0,0.65
2006/07,Fall,796,517,244,135,89,128,142,161,205,305,435,89,707,0.89
2006/07,Winter,813,461,217,98,61,75,73,72,120,268,443,61,752,0.92
2006/07,Spring,813.0,458.0,291.0,133.0,55.0,72.0,89.0,92.0,130.0,228.0,379.0,55.0,758.0,0.93
2007/08,Summer,813.0,576.0,420.0,287.0,235.0,231.0,242.0,252.0,291.0,356.0,477.0,231.0,582.0,0.72
2007/08,Fall,814,517,252,77,35,64,100,100,158,233,398,35,779,0.96
2007/08,Winter,814,600,333,136,64,64,117,115,141,228,360,64,750,0.92
2007/08,Spring,814.0,648.0,369.0,180.0,100.0,94.0,107.0,111.0,136.0,215.0,351.0,94.0,720.0,0.88
2008/09,Summer,814.0,672.0,460.0,333.0,273.0,263.0,263.0,269.0,283.0,332.0,453.0,263.0,551.0,0.68
2008/09,Fall,814,578,357,127,87,91,115,122,148,218,354,87,727,0.89
2008/09,Winter,814,598,338,167,109,113,136,143,175,257,428,109,705,0.87
2008/09,Spring,412.0,226.0,18.0,0.0,0.0,5.0,16.0,12.0,29.0,89.0,199.0,0.0,412.0,1.0
2009/10,Summer,443.0,329.0,153.0,51.0,10.0,7.0,17.0,16.0,32.0,77.0,195.0,7.0,436.0,0.98
2009/10,Fall,443,232,27,1,0,3,12,12,31,94,204,0,443,1.0
2009/10,Winter,443,236,10,0,0,4,12,16,38,97,215,0,443,1.0
2009/10,Spring,401.0,211.0,3.0,0.0,0.0,4.0,13.0,12.0,31.0,81.0,186.0,0.0,401.0,1.0
2010/11,Summer,397.0,259.0,172.0,75.0,53.0,35.0,53.0,63.0,80.0,112.0,213.0,35.0,362.0,0.91
2010/11,Fall,369,204,23,1,1,7,15,17,33,76,182,1,368,1.0
2010/11,Winter,265,62,0,0,0,1,6,7,19,54,130,0,265,1.0
2010/11,Spring,265.0,24.0,0.0,0.0,3.0,3.0,2.0,1.0,8.0,49.0,142.0,0.0,265.0,1.0
2011/12,Summer,265.0,102.0,16.0,0.0,1.0,4.0,4.0,1.0,9.0,45.0,146.0,0.0,265.0,1.0
2011/12,Fall,265,48,1,1,0,0,7,12,23,56,122,0,265,1.0
2011/12,Winter,265,72,6,0,3,14,24,22,32,70,137,0,265,1.0
2011/12,Spring,265.0,105.0,7.0,0.0,0.0,2.0,4.0,8.0,16.0,57.0,135.0,0.0,265.0,1.0
2012/13,Summer,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,53.0,0.0,98.0,1.0
2012/13,Fall,98,0,0,0,0,1,0,1,5,19,54,0,98,1.0
2012/13,Winter,98,0,0,0,0,0,2,2,2,24,52,0,98,1.0
2012/13,Spring,98.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,8.0,25.0,52.0,0.0,98.0,1.0
2013/14,Summer,98.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,27.0,61.0,0.0,98.0,1.0
2013/14,Fall,98,0,0,0,0,0,0,1,12,28,51,0,98,1.0
2013/14,Winter,98,0,0,0,0,0,5,6,9,30,53,0,98,1.0
2013/14,Spring,98.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,8.0,24.0,54.0,0.0,98.0,1.0
