year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,24.0,16.0,13.0,10.0,8.0,11.0,10.0,10.0,9.0,12.0,13.0,8.0,16.0,0.67
2000/01,Fall,24,15,9,7,8,9,9,9,8,8,11,7,17,0.71
2000/01,Winter,24,16,14,9,7,9,8,9,8,9,12,7,17,0.71
2000/01,Spring,25.0,18.0,14.0,11.0,8.0,8.0,8.0,8.0,11.0,11.0,13.0,8.0,17.0,0.68
2001/02,Summer,25.0,16.0,16.0,15.0,12.0,14.0,13.0,12.0,9.0,12.0,14.0,9.0,16.0,0.64
2001/02,Fall,37,28,24,20,19,20,18,17,18,18,19,17,20,0.54
2001/02,Winter,25,16,10,9,7,8,8,10,8,8,12,7,18,0.72
2001/02,Spring,26.0,18.0,14.0,11.0,9.0,7.0,9.0,8.0,10.0,11.0,13.0,7.0,19.0,0.73
2002/03,Summer,26.0,17.0,12.0,11.0,8.0,11.0,10.0,10.0,9.0,9.0,13.0,8.0,18.0,0.69
2002/03,Fall,26,18,13,11,9,12,9,8,9,10,12,8,18,0.69
2002/03,Winter,27,15,10,8,7,8,8,7,7,10,12,7,20,0.74
2002/03,Spring,27.0,15.0,12.0,11.0,9.0,9.0,11.0,10.0,10.0,11.0,12.0,9.0,18.0,0.67
2003/04,Summer,26.0,15.0,11.0,10.0,8.0,11.0,9.0,8.0,9.0,11.0,14.0,8.0,18.0,0.69
2003/04,Fall,31,21,14,14,10,11,9,10,10,10,11,9,22,0.71
2003/04,Winter,32,19,14,13,10,12,13,11,12,13,16,10,22,0.69
2003/04,Spring,33.0,21.0,17.0,14.0,12.0,16.0,14.0,11.0,9.0,9.0,10.0,9.0,24.0,0.73
2004/05,Summer,33.0,23.0,18.0,14.0,12.0,12.0,15.0,13.0,13.0,11.0,17.0,11.0,22.0,0.67
2004/05,Fall,26,18,14,13,10,12,12,10,12,12,16,10,16,0.62
2004/05,Winter,25,22,17,11,9,9,9,9,9,11,12,9,16,0.64
2004/05,Spring,22.0,14.0,11.0,9.0,8.0,8.0,9.0,9.0,12.0,12.0,14.0,8.0,14.0,0.64
2005/06,Summer,23.0,18.0,15.0,12.0,8.0,10.0,9.0,10.0,10.0,12.0,14.0,8.0,15.0,0.65
2005/06,Fall,23,16,11,9,8,9,10,10,11,12,10,8,15,0.65
2005/06,Winter,23,16,13,9,7,7,9,9,10,11,11,7,16,0.7
2005/06,Spring,23.0,16.0,11.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,15.0,0.65
2006/07,Summer,30.0,23.0,14.0,10.0,9.0,12.0,13.0,13.0,13.0,13.0,15.0,9.0,21.0,0.7
2006/07,Fall,30,23,18,15,12,13,12,12,12,13,15,12,18,0.6
2006/07,Winter,35,25,19,19,18,16,17,17,17,18,21,16,19,0.54
2006/07,Spring,36.0,27.0,22.0,16.0,13.0,14.0,16.0,14.0,16.0,17.0,21.0,13.0,23.0,0.64
2007/08,Summer,36.0,28.0,21.0,18.0,16.0,15.0,16.0,17.0,17.0,18.0,22.0,15.0,21.0,0.58
2007/08,Fall,36,23,18,18,17,16,16,15,15,16,18,15,21,0.58
2007/08,Winter,35,28,20,17,13,14,15,15,15,15,18,13,22,0.63
2007/08,Spring,35.0,27.0,20.0,15.0,14.0,14.0,15.0,16.0,18.0,19.0,20.0,14.0,21.0,0.6
2008/09,Summer,36.0,30.0,22.0,16.0,14.0,15.0,15.0,13.0,14.0,15.0,19.0,13.0,23.0,0.64
2008/09,Fall,36,27,23,18,14,15,15,17,16,18,18,14,22,0.61
2008/09,Winter,36,28,23,18,16,17,18,16,17,18,22,16,20,0.56
2008/09,Spring,37.0,32.0,27.0,22.0,19.0,19.0,18.0,16.0,16.0,17.0,21.0,16.0,21.0,0.57
2009/10,Summer,40.0,35.0,28.0,21.0,21.0,20.0,21.0,20.0,21.0,23.0,25.0,20.0,20.0,0.5
2009/10,Fall,41,37,29,24,22,20,20,18,16,19,23,16,25,0.61
2009/10,Winter,43,38,27,17,13,16,17,15,19,19,24,13,30,0.7
2009/10,Spring,46.0,37.0,29.0,25.0,24.0,21.0,26.0,24.0,24.0,26.0,31.0,21.0,25.0,0.54
2010/11,Summer,42.0,37.0,27.0,23.0,18.0,17.0,17.0,16.0,17.0,19.0,23.0,16.0,26.0,0.62
2010/11,Fall,43,36,29,24,20,19,19,19,21,23,26,19,24,0.56
2010/11,Winter,43,35,26,20,17,17,17,18,18,18,22,17,26,0.6
2010/11,Spring,43.0,32.0,26.0,18.0,17.0,20.0,21.0,19.0,17.0,19.0,22.0,17.0,26.0,0.6
2011/12,Summer,49.0,44.0,33.0,29.0,24.0,28.0,22.0,20.0,20.0,24.0,31.0,20.0,29.0,0.59
2011/12,Fall,50,43,37,28,26,26,25,21,22,25,30,21,29,0.58
2011/12,Winter,53,45,35,29,24,26,26,25,26,27,35,24,29,0.55
2011/12,Spring,53.0,46.0,38.0,32.0,28.0,27.0,30.0,29.0,27.0,29.0,28.0,27.0,26.0,0.49
2012/13,Summer,55.0,44.0,37.0,30.0,27.0,28.0,29.0,29.0,28.0,31.0,33.0,27.0,28.0,0.51
2012/13,Fall,56,51,40,32,26,25,24,20,21,28,34,20,36,0.64
2012/13,Winter,57,50,47,35,30,28,26,26,31,32,36,26,31,0.54
2012/13,Spring,60.0,41.0,38.0,30.0,26.0,27.0,27.0,27.0,25.0,36.0,40.0,25.0,35.0,0.58
2013/14,Summer,63.0,55.0,48.0,41.0,32.0,30.0,31.0,32.0,31.0,32.0,41.0,30.0,33.0,0.52
2013/14,Fall,65,58,48,37,32,32,32,31,37,35,39,31,34,0.52
2013/14,Winter,67,50,36,34,29,28,30,28,33,37,41,28,39,0.58
2013/14,Spring,71.0,60.0,49.0,40.0,35.0,37.0,39.0,38.0,38.0,41.0,35.0,35.0,36.0,0.51
2014/15,Summer,73,62,50,44,40,45,44,42,39,43,49,39,34,0.47
2014/15,Fall,77,64,51,42,38,36,38,37,40,41,47,36,41,0.53
2014/15,Winter,82,59,51,37,31,30,37,34,41,43,47,30,52,0.63
2014/15,Spring,82,74,59,45,41,37,38,39,39,44,53,37,45,0.55
