year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,11.0,7.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,6.0,6.0,3.0,8.0,0.73
2000/01,Fall,11,7,5,4,3,3,3,3,4,6,7,3,8,0.73
2000/01,Winter,11,7,5,4,4,3,3,4,5,5,7,3,8,0.73
2000/01,Spring,11.0,6.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,8.0,0.73
2001/02,Summer,11.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,8.0,0.73
2001/02,Fall,11,6,3,4,3,3,3,4,6,5,6,3,8,0.73
2001/02,Winter,12,8,6,4,5,6,4,6,5,7,6,4,8,0.67
2001/02,Spring,12.0,7.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,7.0,5.0,4.0,8.0,0.67
2002/03,Summer,14.0,8.0,7.0,6.0,5.0,5.0,8.0,4.0,4.0,7.0,6.0,4.0,10.0,0.71
2002/03,Fall,14,8,7,5,4,5,5,6,6,6,6,4,10,0.71
2002/03,Winter,14,8,6,6,4,6,6,6,4,5,5,4,10,0.71
2002/03,Spring,14.0,9.0,5.0,3.0,3.0,2.0,6.0,4.0,6.0,5.0,6.0,2.0,12.0,0.86
2003/04,Summer,13.0,7.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,5.0,3.0,10.0,0.77
2003/04,Fall,13,6,4,2,4,2,3,2,2,4,6,2,11,0.85
2003/04,Winter,15,9,5,4,3,4,4,3,5,7,7,3,12,0.8
2003/04,Spring,15.0,7.0,8.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,7.0,4.0,11.0,0.73
2004/05,Summer,15.0,8.0,6.0,4.0,6.0,5.0,7.0,4.0,6.0,6.0,9.0,4.0,11.0,0.73
2004/05,Fall,23,12,11,10,8,9,10,9,8,11,9,8,15,0.65
2004/05,Winter,23,6,5,5,3,3,4,5,4,7,8,3,20,0.87
2004/05,Spring,12.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,6.0,2.0,10.0,0.83
