year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,8.0,5.0,5.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,6.0,0.75
2000/01,Fall,8,4,1,1,2,2,2,3,3,3,3,1,7,0.88
2000/01,Winter,8,5,2,2,2,3,2,3,2,2,2,2,6,0.75
2000/01,Spring,8.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,6.0,0.75
2001/02,Summer,8.0,6.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,6.0,0.75
2001/02,Fall,8,5,3,3,1,1,1,2,2,3,4,1,7,0.88
2001/02,Winter,6,2,4,3,1,2,2,1,1,1,1,1,5,0.83
2001/02,Spring,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,4.0,0.8
2002/03,Summer,8.0,6.0,5.0,4.0,5.0,2.0,5.0,5.0,3.0,3.0,3.0,2.0,6.0,0.75
2002/03,Fall,8,4,4,4,4,5,5,4,4,4,4,4,4,0.5
2002/03,Winter,8,5,2,3,2,3,5,3,2,3,3,2,6,0.75
2002/03,Spring,5.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,0.8
2003/04,Summer,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.8
2003/04,Fall,5,2,2,2,2,2,1,1,2,2,2,1,4,0.8
2003/04,Winter,8,4,2,4,2,2,2,2,3,3,3,2,6,0.75
2003/04,Spring,8.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,6.0,0.75
2004/05,Summer,8.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,6.0,0.75
2004/05,Fall,8,3,3,2,1,3,4,4,4,3,2,1,7,0.88
2004/05,Winter,8,3,2,2,2,1,2,2,2,4,3,1,7,0.88
2004/05,Spring,5.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,0.6
