year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,76.0,42.0,25.0,13.0,5.0,7.0,6.0,6.0,13.0,23.0,25.0,5.0,71.0,0.93
2000/01,Fall,76,36,19,13,6,7,6,11,17,17,11,6,70,0.92
2000/01,Winter,76,33,15,12,6,9,7,4,7,12,14,4,72,0.95
2000/01,Spring,76.0,39.0,22.0,11.0,9.0,9.0,7.0,8.0,16.0,18.0,15.0,7.0,69.0,0.91
2001/02,Summer,76.0,49.0,33.0,13.0,8.0,15.0,14.0,18.0,22.0,29.0,31.0,8.0,68.0,0.89
2001/02,Fall,73,35,11,7,1,3,5,11,13,11,6,1,72,0.99
2001/02,Winter,45,21,18,7,6,7,6,7,9,13,12,6,39,0.87
2001/02,Spring,45.0,20.0,16.0,10.0,7.0,6.0,7.0,10.0,13.0,11.0,7.0,6.0,39.0,0.87
2002/03,Summer,45.0,20.0,13.0,6.0,6.0,6.0,7.0,8.0,10.0,18.0,13.0,6.0,39.0,0.87
2002/03,Fall,45,23,11,5,4,6,9,14,17,16,13,4,41,0.91
2002/03,Winter,45,18,10,4,1,3,5,8,10,10,11,1,44,0.98
2002/03,Spring,45.0,20.0,13.0,9.0,7.0,7.0,11.0,10.0,11.0,9.0,8.0,7.0,38.0,0.84
2003/04,Summer,45.0,22.0,11.0,7.0,6.0,7.0,10.0,8.0,14.0,14.0,12.0,6.0,39.0,0.87
2003/04,Fall,45,14,5,0,0,2,4,4,7,5,4,0,45,1.0
2003/04,Winter,45,9,3,0,0,2,2,5,6,5,5,0,45,1.0
2003/04,Spring,45.0,18.0,7.0,4.0,2.0,4.0,5.0,3.0,7.0,8.0,8.0,2.0,43.0,0.96
2004/05,Summer,45.0,26.0,12.0,6.0,4.0,11.0,12.0,10.0,15.0,17.0,19.0,4.0,41.0,0.91
2004/05,Fall,45,16,5,3,1,4,6,6,10,13,13,1,44,0.98
2004/05,Winter,46,17,6,4,0,1,1,5,9,11,11,0,46,1.0
2004/05,Spring,45.0,14.0,10.0,7.0,3.0,3.0,4.0,4.0,10.0,11.0,16.0,3.0,42.0,0.93
2005/06,Summer,45.0,20.0,11.0,7.0,3.0,6.0,5.0,7.0,11.0,16.0,22.0,3.0,42.0,0.93
2005/06,Fall,45,17,8,3,4,4,5,8,11,14,13,3,42,0.93
2005/06,Winter,45,10,4,5,5,4,5,7,9,12,15,4,41,0.91
2005/06,Spring,46.0,12.0,6.0,3.0,2.0,1.0,2.0,4.0,10.0,9.0,9.0,1.0,45.0,0.98
2006/07,Summer,46.0,26.0,17.0,8.0,10.0,10.0,10.0,11.0,13.0,14.0,16.0,8.0,38.0,0.83
2006/07,Fall,46,12,4,2,5,4,7,6,8,8,11,2,44,0.96
2006/07,Winter,46,10,3,4,2,3,3,4,4,7,8,2,44,0.96
2006/07,Spring,46.0,18.0,5.0,3.0,2.0,4.0,3.0,4.0,6.0,7.0,8.0,2.0,44.0,0.96
2007/08,Summer,46.0,28.0,14.0,5.0,3.0,6.0,7.0,12.0,14.0,16.0,18.0,3.0,43.0,0.93
2007/08,Fall,46,12,5,2,3,3,3,6,6,8,7,2,44,0.96
2007/08,Winter,46,21,7,5,3,4,2,9,11,11,12,2,44,0.96
2007/08,Spring,46.0,19.0,10.0,4.0,3.0,4.0,6.0,9.0,10.0,11.0,10.0,3.0,43.0,0.93
2008/09,Summer,46.0,34.0,22.0,17.0,17.0,16.0,15.0,17.0,19.0,22.0,24.0,15.0,31.0,0.67
2008/09,Fall,46,19,8,3,1,4,4,5,8,12,10,1,45,0.98
2008/09,Winter,78,47,26,16,12,14,14,15,22,21,23,12,66,0.85
2008/09,Spring,77.0,41.0,21.0,7.0,2.0,5.0,8.0,11.0,15.0,19.0,22.0,2.0,75.0,0.97
