year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2005/06,Summer,16,10,7,3,4,6,7,5,6,8,11,3,13,0.81
2005/06,Fall,16,8,3,1,2,5,4,5,7,8,11,1,15,0.94
2005/06,Winter,16,10,8,3,1,2,2,3,4,8,12,1,15,0.94
2005/06,Spring,16,9,5,1,2,3,3,3,6,9,11,1,15,0.94
2006/07,Summer,16,11,4,2,0,4,2,2,2,7,10,0,16,1.0
2006/07,Fall,16,6,2,0,0,3,3,3,5,7,12,0,16,1.0
2006/07,Winter,16,7,1,1,0,1,1,2,4,7,11,0,16,1.0
2006/07,Spring,16,10,4,1,0,1,1,3,6,8,11,0,16,1.0
2007/08,Summer,16,9,4,1,2,4,5,3,5,8,9,1,15,0.94
2007/08,Fall,16,12,5,3,1,7,3,3,5,8,10,1,15,0.94
2007/08,Winter,16,11,2,1,1,2,1,2,4,7,10,1,15,0.94
2007/08,Spring,16,10,6,1,1,3,2,2,3,5,9,1,15,0.94
2008/09,Summer,16,11,8,1,1,2,2,1,3,3,8,1,15,0.94
2008/09,Fall,16,11,5,0,1,2,1,2,2,4,8,0,16,1.0
2008/09,Winter,16,11,4,0,1,3,4,1,2,6,11,0,16,1.0
2008/09,Spring,16,12,3,1,0,1,0,0,1,5,8,0,16,1.0
2009/10,Summer,16,12,6,2,1,3,3,3,3,5,7,1,15,0.94
2009/10,Fall,16,12,5,0,0,1,2,2,3,3,8,0,16,1.0
2009/10,Winter,16,13,6,3,1,4,1,1,2,5,9,1,15,0.94
2009/10,Spring,16,12,5,1,3,6,5,2,3,7,12,1,15,0.94
2010/11,Summer,16,10,4,3,2,3,3,1,3,6,8,1,15,0.94
2010/11,Fall,16,12,4,1,1,2,4,3,5,6,11,1,15,0.94
2010/11,Winter,16,11,4,0,0,2,1,0,2,6,10,0,16,1.0
2010/11,Spring,16,10,3,0,1,2,2,2,4,6,13,0,16,1.0
2011/12,Summer,16,7,3,0,1,0,2,2,3,0,6,0,16,1.0
2011/12,Fall,16,13,8,1,0,2,1,1,3,6,8,0,16,1.0
2011/12,Winter,16,12,4,2,1,0,2,1,0,2,8,0,16,1.0
2011/12,Spring,16,10,7,1,1,1,3,1,3,2,8,1,15,0.94
2012/13,Summer,16,10,7,1,0,1,2,2,3,2,8,0,16,1.0
2012/13,Fall,16,13,5,0,0,0,1,2,0,4,8,0,16,1.0
2012/13,Winter,16,11,5,0,1,1,4,2,2,3,8,0,16,1.0
2012/13,Spring,16,11,7,1,2,4,1,2,0,0,5,0,16,1.0
2013/14,Summer,16,10,4,0,0,0,2,0,1,0,8,0,16,1.0
2013/14,Fall,16,8,2,0,0,3,1,2,1,4,10,0,16,1.0
2013/14,Winter,16,10,3,0,0,1,0,2,0,5,9,0,16,1.0
2013/14,Spring,16,10,3,0,0,2,2,2,5,8,11,0,16,1.0
2014/15,Summer,16,7,3,2,1,3,2,1,3,2,11,1,15,0.94
2014/15,Fall,16,6,0,1,1,1,0,1,1,4,11,0,16,1.0
2014/15,Winter,16,4,0,0,0,0,1,0,0,1,7,0,16,1.0
2014/15,Spring,16,7,1,0,0,1,0,0,1,4,6,0,16,1.0
