year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2004/05,Summer,390,264,261,262,262,262,262,263,304,321,322,261,129,0.33
2004/05,Fall,390,297,296,296,295,294,295,297,324,332,332,294,96,0.25
2004/05,Winter,390,297,296,296,295,294,295,297,324,332,332,294,96,0.25
2004/05,Spring,390,297,296,296,295,294,295,297,324,332,332,294,96,0.25
2005/06,Summer,499,406,386,366,363,371,379,377,386,399,418,363,136,0.27
2005/06,Fall,499,420,376,350,344,356,353,355,367,383,408,344,155,0.31
2005/06,Winter,499,416,376,347,337,341,338,340,349,377,409,337,162,0.32
2005/06,Spring,499,425,386,358,358,365,357,359,378,399,424,357,142,0.28
2006/07,Summer,499,411,364,335,324,340,336,332,337,366,412,324,175,0.35
2006/07,Fall,499,384,331,294,285,307,303,301,320,374,414,285,214,0.43
2006/07,Winter,499,395,345,313,303,314,310,314,331,355,403,303,196,0.39
2006/07,Spring,499,397,341,304,289,306,313,316,328,360,397,289,210,0.42
2007/08,Summer,499,387,350,310,296,312,310,295,307,338,373,295,204,0.41
2007/08,Fall,499,172,106,62,49,69,63,61,74,98,136,49,450,0.9
2007/08,Winter,499,307,227,192,180,192,194,195,201,236,277,180,319,0.64
2007/08,Spring,499,376,322,268,254,266,262,260,275,304,351,254,245,0.49
2008/09,Summer,499,365,309,265,248,260,268,257,268,290,331,248,251,0.5
2008/09,Fall,499,383,317,261,255,261,267,259,263,301,346,255,244,0.49
2008/09,Winter,499,414,347,285,269,280,291,275,280,311,363,269,230,0.46
2008/09,Spring,499,420,335,273,255,269,274,273,276,302,361,255,244,0.49
2009/10,Summer,499,395,331,272,253,258,278,277,283,288,332,253,246,0.49
2009/10,Fall,499,437,358,299,285,290,297,301,308,333,385,285,214,0.43
2009/10,Winter,499,438,371,307,297,310,313,308,316,341,396,297,202,0.4
2009/10,Spring,499,435,366,306,296,305,315,305,317,347,397,296,203,0.41
2010/11,Summer,498,405,341,301,289,287,290,287,296,310,361,287,211,0.42
2010/11,Fall,498,422,349,306,298,296,297,296,314,341,403,296,202,0.41
2010/11,Winter,392,314,234,181,180,180,184,190,201,226,285,180,212,0.54
2010/11,Spring,392,303,250,214,210,202,208,213,225,245,298,202,190,0.48
2011/12,Summer,392,292,257,220,203,208,219,206,214,224,276,203,189,0.48
2011/12,Fall,499,422,373,304,293,293,312,309,332,353,387,293,206,0.41
2011/12,Winter,499,427,362,318,308,308,322,313,313,340,390,308,191,0.38
2011/12,Spring,499,434,391,339,314,320,340,323,338,350,397,314,185,0.37
2012/13,Summer,499,334,278,228,210,210,240,230,227,236,288,210,289,0.58
2012/13,Fall,499,327,278,228,204,206,217,221,214,233,285,204,295,0.59
2012/13,Winter,499,283,227,177,168,163,179,175,181,211,248,163,336,0.67
2012/13,Spring,499,291,252,195,187,190,194,194,194,230,282,187,312,0.63
2013/14,Summer,499,370,327,279,266,276,298,282,295,343,389,266,233,0.47
2013/14,Fall,499,322,271,233,240,250,247,252,257,365,415,233,266,0.53
2013/14,Winter,499,308,257,209,208,216,217,217,244,361,408,208,291,0.58
2013/14,Spring,499,267,220,167,164,172,183,187,300,367,414,164,335,0.67
2014/15,Summer,499,268,209,163,154,167,174,174,250,351,405,154,345,0.69
2014/15,Fall,499,245,173,148,149,149,153,160,254,308,381,148,351,0.7
2014/15,Winter,499,267,180,148,150,152,159,158,243,303,376,148,351,0.7
2014/15,Spring,499,281,203,156,159,162,164,167,244,313,372,156,343,0.69
