year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2004/05,Summer,142,141,141,141,141,141,141,141,141,142,142,141,1,0.01
2004/05,Fall,142,142,142,142,141,140,141,141,140,141,141,140,2,0.01
2004/05,Winter,142,142,142,142,141,140,141,141,140,141,141,140,2,0.01
2004/05,Spring,142,142,142,142,141,140,141,141,140,141,141,140,2,0.01
2005/06,Summer,142,139,137,133,132,132,132,132,132,133,135,132,10,0.07
2005/06,Fall,142,133,126,124,121,122,123,122,122,125,128,121,21,0.15
2005/06,Winter,142,133,124,119,117,117,116,117,118,122,128,116,26,0.18
2005/06,Spring,142,129,120,115,112,111,110,111,113,117,122,110,32,0.23
2006/07,Summer,142,131,118,113,111,113,113,113,112,113,118,111,31,0.22
2006/07,Fall,142,119,96,87,84,85,85,87,90,98,108,84,58,0.41
2006/07,Winter,142,94,79,72,67,67,69,68,74,81,103,67,75,0.53
2006/07,Spring,142,94,72,61,56,57,60,61,60,73,94,56,86,0.61
2007/08,Summer,142,84,68,51,43,44,45,43,48,58,79,43,99,0.7
2007/08,Fall,142,85,54,33,30,33,32,33,42,52,78,30,112,0.79
2007/08,Winter,142,93,49,38,30,30,32,33,37,54,82,30,112,0.79
2007/08,Spring,142,72,43,24,19,20,20,20,25,37,65,19,123,0.87
2008/09,Summer,142,83,54,37,31,33,36,34,37,46,71,31,111,0.78
2008/09,Fall,12,0,0,0,0,0,0,0,0,2,5,0,12,1.0
2008/09,Winter,142,89,55,26,18,19,23,18,20,31,63,18,124,0.87
2008/09,Spring,142,94,47,18,10,12,17,16,20,29,64,10,132,0.93
2009/10,Summer,142,88,55,26,20,22,26,27,30,39,66,20,122,0.86
2009/10,Fall,142,102,62,35,29,31,34,35,38,51,79,29,113,0.8
2009/10,Winter,142,106,69,42,36,38,38,41,42,54,80,36,106,0.75
2009/10,Spring,142,104,70,47,37,36,41,41,48,61,90,36,106,0.75
2010/11,Summer,142.0,100.0,65.0,46.0,40.0,38.0,37.0,41.0,41.0,54.0,85.0,37.0,105.0,0.74
2010/11,Fall,142.0,100.0,65.0,46.0,40.0,38.0,37.0,41.0,41.0,54.0,85.0,37.0,105.0,0.74
2010/11,Winter,142.0,100.0,65.0,46.0,40.0,38.0,37.0,41.0,41.0,54.0,85.0,37.0,105.0,0.74
2010/11,Spring,142.0,100.0,65.0,46.0,40.0,38.0,37.0,41.0,41.0,54.0,85.0,37.0,105.0,0.74
2014/15,Summer,142,90,68,49,44,45,46,45,51,80,102,44,98,0.69
2014/15,Fall,142,44,24,12,10,8,6,8,19,50,89,6,136,0.96
2014/15,Winter,142,61,16,0,1,1,0,4,18,45,87,0,142,1.0
2014/15,Spring,142,65,20,5,8,12,14,12,19,40,77,5,137,0.96
