year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2003/04,Summer,191,151,110,70,49,49,59,58,63,80,94,49,142,0.74
2003/04,Fall,193,137,78,20,8,7,7,8,21,42,43,7,186,0.96
2003/04,Winter,193,138,86,19,2,2,2,4,11,33,45,2,191,0.99
2003/04,Spring,193,142,90,24,7,12,11,14,22,42,55,7,186,0.96
2004/05,Summer,193,150,115,76,49,45,52,49,57,71,88,45,148,0.77
2004/05,Fall,149,114,60,9,0,1,7,4,12,27,37,0,149,1.0
2004/05,Winter,149,89,36,2,0,1,3,4,15,32,16,0,149,1.0
2004/05,Spring,149,81,34,0,1,2,1,5,12,30,9,0,149,1.0
2005/06,Summer,149,98,69,41,21,27,27,25,33,51,67,21,128,0.86
2005/06,Fall,151,88,37,9,4,6,7,7,12,25,26,4,147,0.97
2005/06,Winter,149,88,34,9,4,2,6,10,15,25,18,2,147,0.99
2005/06,Spring,152,90,42,11,6,4,7,8,15,26,12,4,148,0.97
2006/07,Summer,152,101,68,48,29,26,28,33,41,57,67,26,126,0.83
2006/07,Fall,152,94,48,13,3,3,4,3,12,29,23,3,149,0.98
2006/07,Winter,152,93,40,8,2,0,1,1,5,15,24,0,152,1.0
2006/07,Spring,152,85,35,11,2,2,4,6,12,31,29,2,150,0.99
2007/08,Summer,174,120,85,67,58,57,61,58,60,75,96,57,117,0.67
2007/08,Fall,173,124,74,31,19,12,19,19,35,46,52,12,161,0.93
2007/08,Winter,173,134,89,58,33,27,26,26,34,48,43,26,147,0.85
2007/08,Spring,173,132,86,50,26,20,22,22,28,34,42,20,153,0.88
2008/09,Summer,173,96,51,30,16,11,15,15,31,45,89,11,162,0.94
2008/09,Fall,168,91,47,4,0,0,0,1,2,28,22,0,168,1.0
2008/09,Winter,168,113,57,21,0,1,3,1,7,24,16,0,168,1.0
2008/09,Spring,192,138,86,40,17,12,9,11,17,29,24,9,183,0.95
2009/10,Summer,150,118,77,46,28,25,30,29,36,51,67,25,125,0.83
2009/10,Fall,232,177,121,58,23,16,17,16,27,47,32,16,216,0.93
2009/10,Winter,251,198,142,82,27,23,24,27,34,47,51,23,228,0.91
2009/10,Spring,251,207,151,75,25,16,17,19,28,44,46,16,235,0.94
2010/11,Summer,251,222,176,119,78,72,76,74,82,94,124,72,179,0.71
2010/11,Fall,251,202,141,65,16,11,12,11,17,43,48,11,240,0.96
2010/11,Winter,288,236,182,98,56,38,41,46,51,73,59,38,250,0.87
2010/11,Spring,288,238,179,99,46,25,23,26,32,58,51,23,265,0.92
2011/12,Summer,288,263,227,182,104,97,106,97,101,132,175,97,191,0.66
2011/12,Fall,288,244,184,99,64,60,58,49,52,90,100,49,239,0.83
2011/12,Winter,315,258,202,118,65,50,52,46,55,86,102,46,269,0.85
2011/12,Spring,315,273,216,128,79,67,57,56,86,102,120,56,259,0.82
2012/13,Summer,315,281,231,166,133,126,123,119,126,144,189,119,196,0.62
2012/13,Fall,315,271,205,106,35,31,27,26,43,85,92,26,289,0.92
2012/13,Winter,315,269,203,88,22,15,16,18,37,74,111,15,300,0.95
2012/13,Spring,315,259,196,77,26,16,15,14,33,55,87,14,301,0.96
2013/14,Summer,315,280,220,133,85,80,77,74,86,108,155,74,241,0.77
2013/14,Fall,315,252,184,100,37,30,24,37,43,78,82,24,291,0.92
2013/14,Winter,315,260,162,67,12,4,6,9,24,50,69,4,311,0.99
2013/14,Spring,315,247,177,97,39,25,25,27,33,63,90,25,290,0.92
2014/15,Summer,315,278,185,94,36,21,30,30,44,78,135,21,294,0.93
2014/15,Fall,315,245,165,32,0,1,12,12,22,46,57,0,315,1.0
2014/15,Winter,315,237,149,10,1,4,2,2,15,58,73,1,314,1.0
2014/15,Spring,315,263,178,58,10,2,3,7,20,35,50,2,313,0.99
