year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2003/04,Summer,5,3,3,3,3,3,3,3,3,3,3,3,2,0.4
2003/04,Fall,5,5,4,3,3,3,3,4,5,5,5,3,2,0.4
2003/04,Winter,5,4,4,3,3,4,2,3,3,4,5,2,3,0.6
2003/04,Spring,5,4,4,3,3,2,2,2,3,4,4,2,3,0.6
2004/05,Summer,5,4,4,3,3,3,3,3,4,4,4,3,2,0.4
2004/05,Fall,2,1,1,1,1,1,1,1,1,1,1,1,1,0.5
2004/05,Winter,2,1,1,1,1,1,1,1,1,1,1,1,1,0.5
2004/05,Spring,2,1,1,1,1,1,1,1,1,1,1,1,1,0.5
2005/06,Summer,2,0,0,0,0,0,0,0,0,0,0,0,2,1.0
2005/06,Fall,2,1,1,1,1,1,1,1,1,1,1,1,1,0.5
2005/06,Winter,2,1,1,1,1,1,1,1,2,1,1,1,1,0.5
2005/06,Spring,5,4,4,3,3,3,2,3,3,2,3,2,3,0.6
2006/07,Summer,5,5,5,4,5,5,4,4,5,5,5,4,1,0.2
2006/07,Fall,5,4,5,3,4,4,3,2,3,3,3,2,3,0.6
2006/07,Winter,5,4,4,3,4,3,2,2,3,3,3,2,3,0.6
2006/07,Spring,5,2,3,2,2,2,3,3,3,3,3,2,3,0.6
2007/08,Summer,5,4,4,4,4,4,5,4,4,4,5,4,1,0.2
2007/08,Fall,5,3,3,3,3,3,3,3,3,3,3,3,2,0.4
2007/08,Winter,5,4,3,3,2,2,2,3,3,4,4,2,3,0.6
2007/08,Spring,5,4,3,3,2,2,2,2,3,3,3,2,3,0.6
2008/09,Summer,5,4,3,4,3,3,4,4,4,4,4,3,2,0.4
2008/09,Fall,5,3,3,2,2,2,2,2,2,2,2,2,3,0.6
2008/09,Winter,5,2,2,0,0,2,2,2,2,2,2,0,5,1.0
2008/09,Spring,5,3,4,1,2,2,2,3,2,3,3,1,4,0.8
2009/10,Summer,5,3,4,3,2,2,2,3,2,3,3,2,3,0.6
2009/10,Fall,5,3,2,2,1,2,3,3,2,2,3,1,4,0.8
2009/10,Winter,5,3,3,2,2,2,2,2,2,2,3,2,3,0.6
2009/10,Spring,5,3,3,2,2,2,3,3,3,3,3,2,3,0.6
2010/11,Summer,5,5,5,4,4,4,4,5,5,4,5,4,1,0.2
2010/11,Fall,5,3,2,2,2,2,1,2,2,2,3,1,4,0.8
2010/11,Winter,6,5,3,3,5,5,4,3,4,5,5,3,3,0.5
2010/11,Spring,6,5,4,3,4,3,3,3,4,5,5,3,3,0.5
2011/12,Summer,6,4,4,4,4,3,5,5,5,6,6,3,3,0.5
2011/12,Fall,6,6,6,5,5,5,3,4,5,3,6,3,3,0.5
2011/12,Winter,5,5,4,2,3,2,3,3,4,4,5,2,3,0.6
2011/12,Spring,5,5,3,3,4,4,3,5,4,5,5,3,2,0.4
2012/13,Summer,5,4,4,2,1,4,3,3,4,4,4,1,4,0.8
2012/13,Fall,5,5,5,4,3,4,4,4,3,3,4,3,2,0.4
2012/13,Winter,5,5,4,4,5,4,3,4,4,4,4,3,2,0.4
2012/13,Spring,7,6,4,2,2,4,2,4,6,6,6,2,5,0.71
2013/14,Summer,7,6,5,5,5,3,4,4,5,6,7,3,4,0.57
2013/14,Fall,7,6,5,6,5,5,4,3,5,5,6,3,4,0.57
2013/14,Winter,7,6,5,3,3,4,5,4,4,4,5,3,4,0.57
2013/14,Spring,7,4,4,5,5,6,6,6,5,5,6,4,3,0.43
2014/15,Summer,7,6,4,4,4,5,5,4,6,6,6,4,3,0.43
2014/15,Fall,7,5,6,3,3,3,4,3,4,5,5,3,4,0.57
2014/15,Winter,7,5,4,4,4,4,3,4,5,4,5,3,4,0.57
2014/15,Spring,7,6,4,5,5,5,4,4,4,4,4,4,3,0.43
