year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,15.0,4.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,15.0,1.0
2000/01,Fall,15,8,3,1,1,1,2,0,1,1,2,0,15,1.0
2000/01,Winter,15,8,3,0,1,1,2,2,2,2,2,0,15,1.0
2000/01,Spring,15.0,8.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,0.93
2001/02,Summer,15.0,7.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,0.0,15.0,1.0
2001/02,Fall,15,11,6,1,0,1,2,3,4,3,2,0,15,1.0
2001/02,Winter,15,11,6,2,1,0,1,3,2,2,3,0,15,1.0
2001/02,Spring,15.0,8.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,15.0,1.0
2002/03,Summer,15.0,9.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,14.0,0.93
2002/03,Fall
2002/03,Winter
2002/03,Spring
2003/04,Summer
2003/04,Fall,2,0,0,0,0,1,0,0,1,1,1,0,2,1.0
2003/04,Winter,2,0,0,0,0,1,1,1,1,1,0,0,2,1.0
2003/04,Spring,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
2004/05,Summer,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0
2004/05,Fall,2,1,1,1,1,1,1,1,1,1,1,1,1,0.5
2004/05,Winter,9,8,8,8,7,3,4,3,2,4,4,2,7,0.78
2004/05,Spring,9.0,9.0,9.0,7.0,7.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,6.0,0.67
2005/06,Summer,9.0,9.0,8.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,5.0,5.0,4.0,0.44
2005/06,Fall,9,9,9,7,7,5,5,6,6,6,6,5,4,0.44
2005/06,Winter,9,9,8,6,5,6,5,4,6,7,5,4,5,0.56
2005/06,Spring,9.0,8.0,8.0,7.0,6.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,0.56
2006/07,Summer,9.0,9.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,9.0,7.0,7.0,2.0,0.22
2006/07,Fall,9,9,9,7,7,7,7,7,6,6,4,4,5,0.56
2006/07,Winter,9,7,7,6,5,5,5,5,5,5,6,5,4,0.44
2006/07,Spring,9.0,9.0,8.0,8.0,7.0,6.0,6.0,7.0,6.0,5.0,6.0,5.0,4.0,0.44
2007/08,Summer,9.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,0.11
2007/08,Fall,9,9,8,7,5,6,4,7,8,7,7,4,5,0.56
2007/08,Winter,9,9,9,8,7,8,7,7,8,8,7,7,2,0.22
2007/08,Spring,9.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,6.0,0.67
2008/09,Summer,9.0,9.0,9.0,8.0,7.0,8.0,6.0,7.0,6.0,5.0,5.0,5.0,4.0,0.44
2008/09,Fall,9,9,8,8,8,6,7,6,6,6,5,5,4,0.44
2008/09,Winter,9,9,9,7,6,5,6,4,7,7,6,4,5,0.56
2008/09,Spring,9.0,9.0,9.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,3.0,0.33
2009/10,Summer,9.0,9.0,8.0,8.0,7.0,8.0,6.0,7.0,8.0,6.0,6.0,6.0,3.0,0.33
2009/10,Fall,9,8,9,7,6,7,5,6,6,6,6,5,4,0.44
2009/10,Winter,9,8,9,8,7,7,7,7,5,6,6,5,4,0.44
