year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,15,4,2,0,1,1,2,1,0,1,3,0,15,1.0
2000/01,Fall,15,8,3,1,1,1,2,0,1,1,2,0,15,1.0
2000/01,Winter,15,8,3,0,1,1,2,2,2,2,2,0,15,1.0
2000/01,Spring,15,8,4,2,1,2,1,1,1,1,1,1,14,0.93
2001/02,Summer,15,7,2,0,0,1,1,2,2,3,4,0,15,1.0
2001/02,Fall,15,11,6,1,0,1,2,3,4,3,2,0,15,1.0
2001/02,Winter,15,11,6,2,1,0,1,3,2,2,3,0,15,1.0
2001/02,Spring,15,8,3,0,0,1,1,0,0,1,2,0,15,1.0
2002/03,Summer,15,9,3,1,1,1,3,2,2,3,3,1,14,0.93
2002/03,Fall,15,7,3,2,1,1,1,1,2,1,3,1,14,0.93
2002/03,Winter,15,7,3,2,1,1,1,1,2,1,3,1,14,0.93
2002/03,Spring,15,7,3,2,1,1,1,1,2,1,3,1,14,0.93
2004/05,Summer,7,6,6,6,5,2,2,2,1,2,3,1,6,0.86
2004/05,Fall,7,7,7,5,5,4,3,4,3,2,3,2,5,0.71
2004/05,Winter,7,7,7,5,5,4,3,4,3,2,3,2,5,0.71
2004/05,Spring,7,7,7,5,5,4,3,4,3,2,3,2,5,0.71
2005/06,Summer,7,7,6,5,5,5,4,5,5,5,4,4,3,0.43
2005/06,Fall,7,7,7,6,6,4,4,5,5,4,4,4,3,0.43
2005/06,Winter,7,7,6,5,4,4,3,3,4,5,4,3,4,0.57
2005/06,Spring,7,6,7,5,4,3,4,3,3,4,3,3,4,0.57
2006/07,Summer,7,7,6,5,6,5,5,6,5,7,5,5,2,0.29
2006/07,Fall,7,7,7,6,5,5,5,5,5,5,4,4,3,0.43
2006/07,Winter,7,6,6,5,4,4,4,4,4,5,6,4,3,0.43
2006/07,Spring,7,7,7,6,6,5,5,6,5,5,5,5,2,0.29
2007/08,Summer,7,7,7,6,7,6,6,6,6,6,6,6,1,0.14
2007/08,Fall,7,7,6,5,4,5,3,5,6,6,6,3,4,0.57
2007/08,Winter,7,7,7,6,6,6,5,5,6,6,6,5,2,0.29
2007/08,Spring,7,4,4,4,4,3,3,3,3,3,3,3,4,0.57
2008/09,Summer,7,7,7,7,6,7,5,6,5,4,4,4,3,0.43
2008/09,Fall,7,7,6,6,7,5,5,5,5,5,4,4,3,0.43
2008/09,Winter,7,7,7,6,5,4,5,3,5,5,5,3,4,0.57
2008/09,Spring,7,7,7,5,4,5,4,4,5,5,5,4,3,0.43
2009/10,Summer,7,7,6,6,6,6,5,5,6,5,5,5,2,0.29
2009/10,Fall,7,6,7,5,5,6,4,5,5,5,5,4,3,0.43
2009/10,Winter,7,6,7,6,5,5,5,5,4,5,5,4,3,0.43
2009/10,Spring,7,7,7,7,6,6,7,5,4,5,6,4,3,0.43
2010/11,Summer,7,7,6,6,6,6,6,5,5,5,5,5,2,0.29
2010/11,Fall,7,7,7,6,5,5,5,4,4,5,5,4,3,0.43
2010/11,Winter,7,7,6,6,4,4,5,4,4,5,5,4,3,0.43
2010/11,Spring,7,7,6,5,4,5,5,5,5,4,6,4,3,0.43
2011/12,Summer,7,7,6,7,6,6,6,6,5,5,6,5,2,0.29
2011/12,Fall,7,7,7,6,6,7,7,6,6,6,7,6,1,0.14
2011/12,Winter,7,7,7,7,6,6,4,6,6,6,6,4,3,0.43
2011/12,Spring,7,6,6,6,6,4,4,5,4,5,4,4,3,0.43
2012/13,Summer,7,7,7,6,6,5,5,7,5,5,5,5,2,0.29
2012/13,Fall,4,4,3,2,0,0,0,1,2,1,1,0,4,1.0
2012/13,Winter,4,3,3,3,2,2,2,2,2,2,2,2,2,0.5
2012/13,Spring,4,4,2,3,3,2,1,2,0,1,1,0,4,1.0
2013/14,Summer,7,7,7,7,7,6,7,6,5,6,6,5,2,0.29
2013/14,Fall,8,4,3,4,2,2,5,3,4,6,6,2,6,0.75
2013/14,Winter,8,8,8,8,6,6,5,5,4,5,3,3,5,0.63
2013/14,Spring,8,8,8,7,5,4,6,6,7,6,5,4,4,0.5
2014/15,Summer,8,7,7,7,6,7,7,6,6,7,6,6,2,0.25
2014/15,Fall,8,8,8,7,6,5,3,6,5,5,6,3,5,0.63
2014/15,Winter,8,8,8,7,6,5,4,4,4,7,5,4,4,0.5
2014/15,Spring,8,8,7,7,7,7,6,8,6,5,3,3,5,0.63
