year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,79.0,41.0,26.0,8.0,2.0,1.0,2.0,2.0,4.0,15.0,25.0,1.0,78.0,0.99
2000/01,Fall,110,49,22,7,4,2,3,4,7,20,28,2,108,0.98
2000/01,Winter,112,51,19,5,1,4,5,2,4,15,22,1,111,0.99
2000/01,Spring,110.0,51.0,19.0,7.0,3.0,3.0,2.0,2.0,5.0,12.0,22.0,2.0,108.0,0.98
2001/02,Summer,109.0,63.0,38.0,23.0,14.0,18.0,20.0,17.0,22.0,31.0,43.0,14.0,95.0,0.87
2001/02,Fall,106,54,19,6,2,4,3,1,7,12,13,1,105,0.99
2001/02,Winter,106,42,21,8,1,2,5,3,11,17,19,1,105,0.99
2001/02,Spring,97.0,39.0,26.0,12.0,5.0,4.0,3.0,5.0,9.0,16.0,12.0,3.0,94.0,0.97
2002/03,Summer,90.0,48.0,35.0,27.0,21.0,19.0,20.0,19.0,26.0,34.0,36.0,19.0,71.0,0.79
2002/03,Fall,83,37,25,9,4,4,4,3,9,15,17,3,80,0.96
2002/03,Winter,83,33,21,8,2,1,3,4,8,17,14,1,82,0.99
2002/03,Spring,83.0,38.0,24.0,8.0,2.0,2.0,4.0,4.0,12.0,22.0,21.0,2.0,81.0,0.98
2003/04,Summer,88.0,49.0,38.0,28.0,21.0,18.0,22.0,19.0,19.0,24.0,36.0,18.0,70.0,0.8
2003/04,Fall,89,41,25,9,1,0,1,2,5,10,20,0,89,1.0
2003/04,Winter,77,33,16,2,0,0,2,3,7,11,12,0,77,1.0
2003/04,Spring,71.0,30.0,18.0,3.0,1.0,0.0,2.0,5.0,5.0,13.0,14.0,0.0,71.0,1.0
2004/05,Summer,80.0,48.0,33.0,19.0,14.0,11.0,15.0,19.0,19.0,29.0,32.0,11.0,69.0,0.86
2004/05,Fall,85,36,13,1,0,2,1,1,7,15,15,0,85,1.0
2004/05,Winter,85,28,13,1,0,1,1,1,5,11,19,0,85,1.0
2004/05,Spring,81.0,28.0,11.0,3.0,0.0,0.0,2.0,2.0,6.0,9.0,15.0,0.0,81.0,1.0
2005/06,Summer,83.0,39.0,27.0,16.0,11.0,10.0,10.0,10.0,13.0,24.0,39.0,10.0,73.0,0.88
2005/06,Fall,84,26,19,1,0,1,0,1,4,14,19,0,84,1.0
2005/06,Winter,85,30,15,0,0,0,0,1,4,10,10,0,85,1.0
2005/06,Spring,85.0,27.0,12.0,0.0,0.0,1.0,2.0,2.0,6.0,10.0,11.0,0.0,85.0,1.0
2006/07,Summer,84.0,39.0,32.0,20.0,9.0,7.0,8.0,11.0,11.0,22.0,35.0,7.0,77.0,0.92
2006/07,Fall,80,21,17,3,1,1,4,1,3,10,14,1,79,0.99
2006/07,Winter,68,23,14,1,0,0,1,2,3,6,12,0,68,1.0
2006/07,Spring,66.0,28.0,20.0,4.0,0.0,1.0,1.0,3.0,5.0,8.0,10.0,0.0,66.0,1.0
2007/08,Summer,64.0,27.0,23.0,7.0,1.0,2.0,4.0,2.0,5.0,7.0,18.0,1.0,63.0,0.98
2007/08,Fall,65,20,12,2,2,0,3,2,5,12,17,0,65,1.0
2007/08,Winter,66,18,14,3,1,1,1,2,2,11,16,1,65,0.98
