year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,28.0,22.0,19.0,16.0,14.0,12.0,14.0,13.0,13.0,17.0,18.0,12.0,16.0,0.57
2000/01,Fall,30,25,20,17,13,13,14,12,13,13,18,12,18,0.6
2000/01,Winter,30,24,21,15,12,11,11,11,10,12,16,10,20,0.67
2000/01,Spring,31.0,24.0,20.0,16.0,15.0,13.0,12.0,11.0,12.0,15.0,19.0,11.0,20.0,0.65
2001/02,Summer,32.0,24.0,22.0,19.0,18.0,17.0,16.0,18.0,21.0,20.0,22.0,16.0,16.0,0.5
2001/02,Fall,32,24,20,16,14,12,12,11,15,18,21,11,21,0.66
2001/02,Winter,33,26,19,16,13,9,10,9,12,15,18,9,24,0.73
2001/02,Spring,33.0,23.0,20.0,14.0,11.0,8.0,7.0,7.0,13.0,13.0,20.0,7.0,26.0,0.79
2002/03,Summer,34.0,25.0,23.0,19.0,17.0,18.0,19.0,18.0,18.0,19.0,23.0,17.0,17.0,0.5
2002/03,Fall,36,25,21,14,13,11,14,15,17,16,20,11,25,0.69
2002/03,Winter,36,24,18,13,10,9,9,11,11,15,25,9,27,0.75
2002/03,Spring,36.0,19.0,14.0,8.0,6.0,7.0,7.0,9.0,11.0,14.0,21.0,6.0,30.0,0.83
2003/04,Summer,36.0,25.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,22.0,26.0,15.0,21.0,0.58
2003/04,Fall,36,20,13,8,8,6,7,4,8,14,19,4,32,0.89
2003/04,Winter,35,19,15,5,3,5,6,6,9,13,20,3,32,0.91
2003/04,Spring,35.0,22.0,17.0,10.0,8.0,6.0,7.0,8.0,12.0,12.0,18.0,6.0,29.0,0.83
2004/05,Summer,35.0,21.0,18.0,16.0,12.0,14.0,14.0,14.0,15.0,20.0,24.0,12.0,23.0,0.66
2004/05,Fall,35,17,12,10,7,7,8,9,13,14,18,7,28,0.8
2004/05,Winter,39,21,15,12,7,7,6,8,11,17,22,6,33,0.85
2004/05,Spring,35.0,15.0,12.0,7.0,3.0,4.0,3.0,4.0,5.0,14.0,17.0,3.0,32.0,0.91
2005/06,Summer,35.0,19.0,15.0,10.0,8.0,11.0,9.0,12.0,13.0,16.0,22.0,8.0,27.0,0.77
2005/06,Fall,35,23,15,7,6,5,6,5,6,7,17,5,30,0.86
2005/06,Winter,35,21,13,7,6,7,6,4,10,11,16,4,31,0.89
2005/06,Spring,29.0,16.0,9.0,6.0,5.0,4.0,6.0,6.0,8.0,9.0,12.0,4.0,25.0,0.86
2006/07,Summer,28.0,18.0,10.0,7.0,8.0,7.0,8.0,6.0,12.0,13.0,15.0,6.0,22.0,0.79
2006/07,Fall,28,16,9,4,4,1,4,2,9,7,15,1,27,0.96
2006/07,Winter,26,16,11,6,5,5,5,5,5,7,13,5,21,0.81
2006/07,Spring,29.0,18.0,12.0,6.0,7.0,6.0,6.0,7.0,6.0,9.0,15.0,6.0,23.0,0.79
2007/08,Summer,29.0,20.0,13.0,10.0,9.0,8.0,10.0,9.0,11.0,15.0,18.0,8.0,21.0,0.72
2007/08,Fall,29,16,9,6,5,6,6,6,9,10,13,5,24,0.83
2007/08,Winter,29,18,10,8,8,7,6,7,7,11,13,6,23,0.79
2007/08,Spring,29.0,17.0,10.0,6.0,4.0,3.0,4.0,5.0,6.0,9.0,13.0,3.0,26.0,0.9
2008/09,Summer,23.0,16.0,12.0,7.0,5.0,5.0,6.0,6.0,6.0,9.0,11.0,5.0,18.0,0.78
2008/09,Fall,23,9,4,2,2,1,1,3,4,5,8,1,22,0.96
2008/09,Winter,27,14,5,2,0,2,2,4,5,8,9,0,27,1.0
2008/09,Spring,27.0,16.0,9.0,3.0,2.0,3.0,3.0,3.0,4.0,8.0,11.0,2.0,25.0,0.93
2009/10,Summer,27.0,20.0,10.0,5.0,3.0,3.0,4.0,5.0,5.0,10.0,12.0,3.0,24.0,0.89
2009/10,Fall,27,17,7,2,1,1,3,3,3,8,10,1,26,0.96
2009/10,Winter,33,25,15,7,4,3,1,4,7,7,13,1,32,0.97
2009/10,Spring,33.0,19.0,12.0,2.0,1.0,0.0,3.0,3.0,4.0,9.0,14.0,0.0,33.0,1.0
2010/11,Summer,33.0,21.0,15.0,10.0,5.0,3.0,5.0,4.0,6.0,10.0,17.0,3.0,30.0,0.91
2010/11,Fall,33,19,9,3,0,1,1,2,4,6,13,0,33,1.0
2010/11,Winter,33,20,10,5,3,2,4,4,5,5,12,2,31,0.94
2010/11,Spring,33.0,13.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,6.0,12.0,1.0,32.0,0.97
2011/12,Summer,33.0,20.0,14.0,5.0,5.0,8.0,6.0,8.0,11.0,14.0,20.0,5.0,28.0,0.85
2011/12,Fall,33,17,7,3,2,3,4,2,2,9,15,2,31,0.94
2011/12,Winter,33,23,16,9,5,6,5,7,5,9,15,5,28,0.85
2011/12,Spring,33.0,24.0,14.0,6.0,5.0,5.0,6.0,5.0,7.0,9.0,16.0,5.0,28.0,0.85
2012/13,Summer,33.0,21.0,13.0,9.0,4.0,3.0,6.0,6.0,9.0,11.0,17.0,3.0,30.0,0.91
2012/13,Fall,33,19,11,5,3,2,3,2,4,9,13,2,31,0.94
2012/13,Winter,33,20,10,3,2,3,4,1,4,10,13,1,32,0.97
2012/13,Spring,33.0,21.0,12.0,5.0,3.0,6.0,5.0,8.0,6.0,12.0,17.0,3.0,30.0,0.91
2013/14,Summer,33.0,25.0,14.0,9.0,8.0,9.0,13.0,12.0,11.0,14.0,19.0,8.0,25.0,0.76
