year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,71.0,46.0,43.0,34.0,27.0,27.0,21.0,27.0,32.0,37.0,42.0,21.0,50.0,0.7
2000/01,Fall,95,61,49,36,35,34,32,37,35,46,55,32,63,0.66
2000/01,Winter,77,50,43,33,31,29,25,26,28,29,36,25,52,0.68
2000/01,Spring,71.0,48.0,36.0,27.0,25.0,20.0,25.0,26.0,27.0,30.0,39.0,20.0,51.0,0.72
2001/02,Summer,74.0,51.0,41.0,36.0,35.0,40.0,35.0,40.0,40.0,46.0,55.0,35.0,39.0,0.53
2001/02,Fall,74,54,41,34,29,30,29,30,30,37,50,29,45,0.61
2001/02,Winter,74,52,42,34,31,34,31,27,30,37,48,27,47,0.64
2001/02,Spring,74.0,52.0,42.0,33.0,27.0,35.0,32.0,27.0,32.0,39.0,42.0,27.0,47.0,0.64
2002/03,Summer,74.0,54.0,44.0,42.0,39.0,42.0,37.0,37.0,40.0,43.0,53.0,37.0,37.0,0.5
2002/03,Fall,74,51,39,33,33,34,36,32,37,38,49,32,42,0.57
2002/03,Winter,74,50,40,28,28,29,25,26,27,35,44,25,49,0.66
2002/03,Spring,74.0,52.0,42.0,34.0,33.0,35.0,28.0,25.0,26.0,36.0,40.0,25.0,49.0,0.66
2003/04,Summer,74.0,52.0,40.0,33.0,34.0,38.0,31.0,32.0,38.0,41.0,47.0,31.0,43.0,0.58
2003/04,Fall,75,55,39,33,31,32,31,33,34,40,52,31,44,0.59
2003/04,Winter,75,52,35,34,25,26,21,26,27,33,47,21,54,0.72
2003/04,Spring,75.0,55.0,44.0,35.0,33.0,36.0,28.0,26.0,34.0,37.0,45.0,26.0,49.0,0.65
2004/05,Summer,81.0,43.0,32.0,31.0,34.0,34.0,36.0,29.0,31.0,37.0,44.0,29.0,52.0,0.64
2004/05,Fall,83,55,41,37,28,33,35,33,36,36,44,28,55,0.66
2004/05,Winter,83,43,35,28,25,23,22,22,26,29,39,22,61,0.73
2004/05,Spring,68.0,45.0,33.0,24.0,13.0,14.0,20.0,18.0,22.0,26.0,35.0,13.0,55.0,0.81
2005/06,Summer,69.0,42.0,34.0,28.0,24.0,22.0,19.0,25.0,30.0,33.0,37.0,19.0,50.0,0.72
2005/06,Fall,49,35,21,12,12,14,15,20,18,19,28,12,37,0.76
2005/06,Winter,51,40,25,16,15,16,15,22,22,18,29,15,36,0.71
2005/06,Spring,53.0,44.0,30.0,22.0,19.0,19.0,18.0,17.0,22.0,21.0,32.0,17.0,36.0,0.68
2006/07,Summer,67.0,52.0,40.0,30.0,24.0,26.0,22.0,24.0,30.0,32.0,44.0,22.0,45.0,0.67
2006/07,Fall,106,75,47,30,22,19,23,25,28,35,50,19,87,0.82
2006/07,Winter,59,42,31,22,17,19,21,19,23,23,33,17,42,0.71
2006/07,Spring,59.0,41.0,35.0,27.0,24.0,19.0,22.0,21.0,26.0,28.0,36.0,19.0,40.0,0.68
2007/08,Summer,59.0,40.0,34.0,25.0,22.0,22.0,24.0,26.0,29.0,32.0,38.0,22.0,37.0,0.63
2007/08,Fall,59,43,32,22,13,17,19,18,27,32,36,13,46,0.78
2007/08,Winter,59,42,32,20,15,15,21,20,21,23,29,15,44,0.75
2007/08,Spring,56.0,41.0,35.0,21.0,16.0,16.0,15.0,21.0,24.0,28.0,35.0,15.0,41.0,0.73
2008/09,Summer,52.0,38.0,26.0,24.0,22.0,19.0,18.0,17.0,23.0,26.0,31.0,17.0,35.0,0.67
2008/09,Fall,52,38,30,24,21,21,20,18,21,27,28,18,34,0.65
2008/09,Winter,56,41,30,24,21,20,20,19,19,24,28,19,37,0.66
2008/09,Spring,55.0,43.0,35.0,27.0,24.0,22.0,21.0,22.0,24.0,25.0,30.0,21.0,34.0,0.62
2009/10,Summer,55.0,39.0,34.0,27.0,23.0,25.0,26.0,23.0,22.0,26.0,35.0,22.0,33.0,0.6
2009/10,Fall,55,40,37,31,25,27,27,23,22,21,29,21,34,0.62
2009/10,Winter,55,44,36,26,20,20,17,19,22,26,33,17,38,0.69
2009/10,Spring,55.0,45.0,33.0,24.0,18.0,18.0,19.0,17.0,14.0,24.0,28.0,14.0,41.0,0.75
2010/11,Summer,45.0,37.0,28.0,24.0,22.0,20.0,21.0,21.0,22.0,24.0,33.0,20.0,25.0,0.56
2010/11,Fall,49,40,30,26,19,19,17,17,21,22,32,17,32,0.65
2010/11,Winter,49,38,30,23,19,15,18,17,20,21,30,15,34,0.69
2010/11,Spring,49.0,38.0,28.0,21.0,15.0,14.0,15.0,18.0,21.0,23.0,34.0,14.0,35.0,0.71
2011/12,Summer,50.0,38.0,29.0,27.0,24.0,21.0,22.0,26.0,24.0,23.0,34.0,21.0,29.0,0.58
2011/12,Fall,49,39,29,22,15,12,17,19,21,23,33,12,37,0.76
2011/12,Winter,49,36,29,25,21,22,19,17,22,22,34,17,32,0.65
2011/12,Spring,49.0,39.0,29.0,23.0,17.0,16.0,15.0,16.0,19.0,21.0,25.0,15.0,34.0,0.69
2012/13,Summer,49.0,32.0,19.0,11.0,8.0,7.0,11.0,13.0,14.0,17.0,26.0,7.0,42.0,0.86
2012/13,Fall,49,40,32,24,18,20,18,22,23,28,35,18,31,0.63
2012/13,Winter,49,38,27,23,15,16,20,21,25,25,31,15,34,0.69
2012/13,Spring,49.0,36.0,30.0,23.0,22.0,15.0,16.0,18.0,19.0,26.0,31.0,15.0,34.0,0.69
2013/14,Summer,29.0,20.0,13.0,11.0,12.0,11.0,12.0,10.0,14.0,13.0,17.0,10.0,19.0,0.66
2013/14,Fall,28,19,12,11,10,7,7,14,13,13,17,7,21,0.75
2013/14,Winter,28,16,10,11,10,8,8,9,11,7,17,7,21,0.75
2013/14,Spring,48.0,35.0,29.0,24.0,18.0,20.0,22.0,24.0,23.0,26.0,31.0,18.0,30.0,0.63
2014/15,Summer,48,39,32,24,19,21,26,21,22,23,33,19,29,0.6
2014/15,Fall,48,36,29,28,24,22,22,22,24,26,33,22,26,0.54
2014/15,Winter,48,35,31,26,20,20,24,21,21,21,30,20,28,0.58
2014/15,Spring,43,35,27,24,18,17,15,15,12,18,29,12,31,0.72
