year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,123.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,27.0,0.0,123.0,1.0
2000/01,Fall,175,30,1,0,0,0,1,1,6,18,45,0,175,1.0
2000/01,Winter,190,23,1,0,0,0,1,0,6,26,48,0,190,1.0
2000/01,Spring,191.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,15.0,41.0,0.0,191.0,1.0
2001/02,Summer,191.0,47.0,10.0,1.0,0.0,2.0,3.0,2.0,9.0,25.0,76.0,0.0,191.0,1.0
2001/02,Fall,191,36,0,0,0,0,1,0,4,16,36,0,191,1.0
2001/02,Winter,190,25,0,0,1,1,0,0,5,15,31,0,190,1.0
2001/02,Spring,186.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,17.0,27.0,0.0,186.0,1.0
2002/03,Summer,186.0,50.0,12.0,2.0,1.0,1.0,5.0,3.0,12.0,34.0,70.0,1.0,185.0,0.99
2002/03,Fall,164,23,0,0,0,0,0,0,3,26,45,0,164,1.0
2002/03,Winter,165,21,0,0,0,0,0,2,6,18,34,0,165,1.0
2002/03,Spring,165.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,18.0,31.0,0.0,165.0,1.0
2003/04,Summer,159.0,42.0,5.0,1.0,0.0,1.0,4.0,5.0,10.0,29.0,68.0,0.0,159.0,1.0
2003/04,Fall,159,20,0,0,0,0,1,1,6,17,37,0,159,1.0
2003/04,Winter,159,9,0,0,0,0,0,0,8,20,34,0,159,1.0
2003/04,Spring,159.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,24.0,37.0,0.0,159.0,1.0
2004/05,Summer,159.0,35.0,4.0,1.0,1.0,3.0,6.0,5.0,13.0,30.0,64.0,1.0,158.0,0.99
2004/05,Fall,159,3,0,0,0,0,0,0,5,25,29,0,159,1.0
2004/05,Winter,159,9,2,0,0,0,0,0,7,21,30,0,159,1.0
2004/05,Spring,160.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,28.0,0.0,160.0,1.0
2005/06,Summer,159.0,25.0,0.0,0.0,0.0,0.0,11.0,6.0,11.0,29.0,50.0,0.0,159.0,1.0
2005/06,Fall,165,13,0,0,0,1,0,2,5,24,49,0,165,1.0
2005/06,Winter,164,5,1,0,0,1,0,0,7,27,24,0,164,1.0
2005/06,Spring,163.0,20.0,0.0,0.0,0.0,0.0,1.0,4.0,11.0,24.0,27.0,0.0,163.0,1.0
2006/07,Summer,183.0,51.0,2.0,1.0,0.0,3.0,5.0,3.0,18.0,34.0,62.0,0.0,183.0,1.0
2006/07,Fall,173,28,0,0,0,0,2,1,6,19,31,0,173,1.0
2006/07,Winter,120,7,0,0,0,0,0,1,1,8,21,0,120,1.0
2006/07,Spring,120.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,14.0,0.0,120.0,1.0
2007/08,Summer,120.0,27.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,13.0,20.0,0.0,120.0,1.0
2007/08,Fall,120,31,1,0,0,0,2,2,3,8,19,0,120,1.0
2007/08,Winter,120,38,0,0,0,0,1,1,4,7,18,0,120,1.0
2007/08,Spring,120.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,15.0,0.0,120.0,1.0
2008/09,Summer,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,10.0,1.0
2008/09,Fall,10,0,0,0,0,0,1,0,1,1,1,0,10,1.0
2008/09,Winter,10,0,0,0,0,0,2,1,1,1,0,0,10,1.0
2008/09,Spring,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0,1.0
2009/10,Summer,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,5.0,0.0,10.0,1.0
2009/10,Fall,10,0,0,0,0,0,1,1,1,3,2,0,10,1.0
