year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2000/01,Fall,2,2,1,0,0,0,0,0,0,1,1,0,2,1.0
2000/01,Winter,9,7,1,2,1,0,1,1,2,1,2,0,9,1.0
2000/01,Spring,10.0,7.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,4.0,1.0,9.0,0.9
2001/02,Summer,10.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,5.0,7.0,1.0,9.0,0.9
2001/02,Fall,10,7,5,4,4,2,1,1,3,3,4,1,9,0.9
2001/02,Winter,10,6,2,2,2,1,0,1,2,1,4,0,10,1.0
2001/02,Spring,10.0,8.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,9.0,0.9
2002/03,Summer,10.0,7.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,7.0,0.7
2002/03,Fall,12,8,6,4,3,4,2,2,3,4,7,2,10,0.83
2002/03,Winter,12,6,3,2,2,2,3,2,3,4,4,2,10,0.83
2002/03,Spring,12.0,7.0,6.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,2.0,10.0,0.83
2003/04,Summer,12.0,7.0,6.0,4.0,4.0,4.0,5.0,5.0,3.0,8.0,6.0,3.0,9.0,0.75
2003/04,Fall,12,8,5,3,4,4,4,2,5,4,5,2,10,0.83
2003/04,Winter,12,8,3,3,3,1,2,3,3,5,5,1,11,0.92
2003/04,Spring,12.0,8.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,6.0,2.0,10.0,0.83
2004/05,Summer,12.0,9.0,5.0,6.0,5.0,4.0,5.0,4.0,7.0,6.0,8.0,4.0,8.0,0.67
2004/05,Fall,12,6,3,3,0,2,3,4,3,5,5,0,12,1.0
2004/05,Winter,12,8,3,2,2,1,2,1,3,3,7,1,11,0.92
2004/05,Spring,11.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,10.0,0.91
2005/06,Summer,20.0,12.0,9.0,7.0,5.0,4.0,3.0,5.0,6.0,7.0,8.0,3.0,17.0,0.85
2005/06,Fall,20,14,8,5,2,3,4,4,6,5,10,2,18,0.9
2005/06,Winter,21,13,6,7,4,3,1,2,4,6,5,1,20,0.95
2005/06,Spring,21.0,11.0,8.0,7.0,3.0,5.0,2.0,4.0,7.0,8.0,9.0,2.0,19.0,0.9
2006/07,Summer,21.0,14.0,7.0,7.0,6.0,7.0,7.0,6.0,9.0,8.0,9.0,6.0,15.0,0.71
2006/07,Fall,21,13,8,6,4,2,7,6,7,9,11,2,19,0.9
2006/07,Winter,19,10,8,3,2,1,3,4,3,4,5,1,18,0.95
2006/07,Spring,16.0,11.0,6.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,15.0,0.94
2007/08,Summer,16.0,10.0,8.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,8.0,4.0,12.0,0.75
2007/08,Fall,17,11,6,6,5,2,5,6,9,6,9,2,15,0.88
2007/08,Winter,11,6,4,2,2,1,2,2,5,4,5,1,10,0.91
2007/08,Spring,14.0,8.0,8.0,6.0,4.0,3.0,4.0,1.0,6.0,5.0,6.0,1.0,13.0,0.93
2008/09,Summer,14.0,10.0,8.0,6.0,5.0,6.0,6.0,6.0,7.0,5.0,10.0,5.0,9.0,0.64
2008/09,Fall,14,8,8,4,2,1,3,5,6,5,7,1,13,0.93
2008/09,Winter,10,8,5,3,2,1,4,3,2,2,4,1,9,0.9
2008/09,Spring,10.0,9.0,8.0,4.0,2.0,3.0,3.0,4.0,5.0,3.0,5.0,2.0,8.0,0.8
2009/10,Summer,10.0,9.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,0.5
2009/10,Fall,10,8,6,4,5,4,5,4,3,4,5,3,7,0.7
2009/10,Winter,10,7,5,4,2,4,4,3,5,4,5,2,8,0.8
2009/10,Spring,11.0,11.0,9.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,9.0,0.82
2010/11,Summer,11.0,9.0,7.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,8.0,3.0,8.0,0.73
2010/11,Fall,11,9,8,5,2,3,3,3,4,5,5,2,9,0.82
2010/11,Winter,11,8,4,6,3,1,3,3,3,5,5,1,10,0.91
2010/11,Spring,11.0,8.0,6.0,1.0,1.0,2.0,4.0,6.0,6.0,6.0,7.0,1.0,10.0,0.91
2011/12,Summer,10.0,9.0,8.0,7.0,4.0,3.0,6.0,5.0,6.0,4.0,5.0,3.0,7.0,0.7
2011/12,Fall,10,9,8,6,5,5,3,5,6,7,7,3,7,0.7
2011/12,Winter,10,7,7,3,4,4,5,5,3,5,8,3,7,0.7
2011/12,Spring,10.0,8.0,8.0,4.0,3.0,5.0,6.0,5.0,3.0,6.0,6.0,3.0,7.0,0.7
2012/13,Summer,10.0,8.0,6.0,4.0,4.0,3.0,3.0,6.0,5.0,5.0,5.0,3.0,7.0,0.7
2012/13,Fall,10,6,5,5,4,8,4,4,4,3,5,3,7,0.7
2012/13,Winter,10,8,4,2,3,1,2,3,2,4,6,1,9,0.9
2012/13,Spring,10.0,8.0,7.0,3.0,3.0,0.0,2.0,3.0,1.0,4.0,5.0,0.0,10.0,1.0
2013/14,Summer,11.0,8.0,8.0,3.0,3.0,4.0,4.0,5.0,4.0,7.0,8.0,3.0,8.0,0.73
2013/14,Fall,11,10,6,5,5,4,4,5,7,4,7,4,7,0.64
2013/14,Winter,11,7,8,3,5,3,5,3,6,5,7,3,8,0.73
2013/14,Spring,11.0,8.0,7.0,5.0,1.0,4.0,4.0,2.0,2.0,3.0,4.0,1.0,10.0,0.91
2014/15,Summer,11,8,6,4,4,4,6,5,5,3,8,3,8,0.73
2014/15,Fall,11,6,3,2,0,3,1,2,3,2,4,0,11,1.0
2014/15,Winter,11,10,6,3,4,3,2,3,3,4,4,2,9,0.82
