year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,42.0,30.0,25.0,22.0,19.0,16.0,18.0,18.0,16.0,19.0,26.0,16.0,26.0,0.62
2000/01,Fall,44,31,24,21,18,18,17,15,12,17,26,12,32,0.73
2000/01,Winter,41,30,20,16,14,14,14,12,12,15,21,12,29,0.71
2000/01,Spring,42.0,28.0,22.0,18.0,17.0,16.0,16.0,16.0,15.0,18.0,23.0,15.0,27.0,0.64
2001/02,Summer,43.0,33.0,25.0,23.0,20.0,22.0,21.0,20.0,21.0,22.0,29.0,20.0,23.0,0.53
2001/02,Fall,46,30,23,16,13,14,14,13,15,16,26,13,33,0.72
2001/02,Winter,46,32,24,21,18,16,17,17,15,17,24,15,31,0.67
2001/02,Spring,46.0,33.0,27.0,25.0,19.0,19.0,21.0,18.0,18.0,20.0,25.0,18.0,28.0,0.61
2002/03,Summer,52.0,37.0,28.0,23.0,21.0,23.0,24.0,21.0,19.0,21.0,27.0,19.0,33.0,0.63
2002/03,Fall,52,36,28,20,17,17,19,18,21,23,28,17,35,0.67
2002/03,Winter,53,36,25,19,19,20,20,18,20,22,29,18,35,0.66
2002/03,Spring,53.0,39.0,28.0,21.0,18.0,18.0,16.0,15.0,16.0,22.0,30.0,15.0,38.0,0.72
2003/04,Summer,48.0,36.0,30.0,23.0,21.0,25.0,22.0,21.0,22.0,24.0,31.0,21.0,27.0,0.56
2003/04,Fall,47,39,33,29,22,18,18,13,10,22,29,10,37,0.79
2003/04,Winter,47,37,27,21,19,19,18,17,18,20,26,17,30,0.64
2003/04,Spring,47.0,36.0,27.0,21.0,19.0,21.0,20.0,18.0,19.0,23.0,28.0,18.0,29.0,0.62
2004/05,Summer,50.0,38.0,29.0,25.0,22.0,22.0,25.0,21.0,22.0,24.0,34.0,21.0,29.0,0.58
2004/05,Fall,49,36,30,23,23,23,22,18,17,22,29,17,32,0.65
2004/05,Winter,50,38,31,25,17,20,18,17,20,21,27,17,33,0.66
2004/05,Spring,50.0,38.0,34.0,26.0,21.0,19.0,21.0,19.0,20.0,20.0,31.0,19.0,31.0,0.62
2005/06,Summer,50.0,38.0,30.0,24.0,21.0,22.0,21.0,21.0,22.0,24.0,30.0,21.0,29.0,0.58
2005/06,Fall,49,37,31,24,21,23,19,17,15,19,24,15,34,0.69
2005/06,Winter,49,34,26,22,16,21,18,16,18,20,25,16,33,0.67
2005/06,Spring,49.0,39.0,29.0,26.0,19.0,19.0,20.0,19.0,20.0,23.0,27.0,19.0,30.0,0.61
2006/07,Summer,52.0,39.0,32.0,25.0,24.0,25.0,27.0,25.0,23.0,26.0,30.0,23.0,29.0,0.56
2006/07,Fall,54,45,37,33,28,25,25,21,22,24,30,21,33,0.61
2006/07,Winter,50,38,32,25,21,21,22,20,19,19,24,19,31,0.62
2006/07,Spring,50.0,37.0,31.0,25.0,21.0,22.0,21.0,19.0,18.0,19.0,25.0,18.0,32.0,0.64
2007/08,Summer,49.0,40.0,30.0,25.0,20.0,21.0,22.0,22.0,22.0,25.0,27.0,20.0,29.0,0.59
2007/08,Fall,50,38,25,18,18,21,16,18,18,20,24,16,34,0.68
2007/08,Winter,49,40,29,23,20,19,20,18,19,21,26,18,31,0.63
