year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,9.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,6.0,0.67
2000/01,Fall,11,6,6,4,4,2,3,2,3,5,6,2,9,0.82
2000/01,Winter,11,6,4,3,4,2,2,3,3,4,4,2,9,0.82
2000/01,Spring,16.0,8.0,6.0,5.0,6.0,7.0,5.0,6.0,4.0,5.0,8.0,4.0,12.0,0.75
2001/02,Summer,15.0,8.0,7.0,6.0,7.0,6.0,6.0,4.0,5.0,3.0,6.0,3.0,12.0,0.8
2001/02,Fall,15,8,5,5,3,6,4,3,4,7,5,3,12,0.8
2001/02,Winter,15,6,7,5,5,5,3,4,4,5,7,3,12,0.8
2001/02,Spring,12.0,5.0,3.0,1.0,3.0,1.0,1.0,4.0,6.0,4.0,4.0,1.0,11.0,0.92
2002/03,Summer,12.0,6.0,7.0,2.0,4.0,3.0,4.0,3.0,6.0,6.0,9.0,2.0,10.0,0.83
2002/03,Fall,11,4,2,2,2,2,1,1,1,2,4,1,10,0.91
2002/03,Winter,11,6,4,2,1,1,1,4,3,4,4,1,10,0.91
2002/03,Spring,11.0,6.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,5.0,1.0,10.0,0.91
2003/04,Summer,11.0,5.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,2.0,9.0,0.82
2003/04,Fall,11,6,3,2,2,2,0,1,1,3,6,0,11,1.0
2003/04,Winter,11,4,3,2,2,1,1,2,2,3,6,1,10,0.91
2003/04,Spring,11.0,6.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,5.0,2.0,9.0,0.82
2004/05,Summer,12.0,5.0,6.0,3.0,2.0,3.0,2.0,1.0,4.0,4.0,6.0,1.0,11.0,0.92
2004/05,Fall,12,5,3,2,2,2,3,2,2,4,4,2,10,0.83
2004/05,Winter,12,5,3,1,3,1,2,2,2,4,5,1,11,0.92
2004/05,Spring,16.0,9.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,6.0,8.0,2.0,14.0,0.88
2005/06,Summer,16.0,7.0,5.0,3.0,3.0,2.0,5.0,4.0,4.0,5.0,8.0,2.0,14.0,0.88
2005/06,Fall,16,12,7,4,4,5,5,7,6,8,9,4,12,0.75
2005/06,Winter,16,9,5,5,2,3,4,3,2,6,7,2,14,0.88
2005/06,Spring,15.0,6.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,7.0,2.0,13.0,0.87
2006/07,Summer,15.0,8.0,6.0,4.0,3.0,5.0,4.0,5.0,5.0,7.0,9.0,3.0,12.0,0.8
2006/07,Fall,15,4,3,3,1,1,2,2,4,4,5,1,14,0.93
2006/07,Winter,10,4,2,2,1,2,1,1,1,4,2,1,9,0.9
2006/07,Spring,10.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,8.0,0.8
2007/08,Summer,10.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,4.0,1.0,9.0,0.9
2007/08,Fall,10,5,2,2,2,1,2,1,4,3,3,1,9,0.9
2007/08,Winter,10,5,4,1,3,2,2,1,2,1,3,1,9,0.9
2007/08,Spring,10.0,4.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,0.0,10.0,1.0
2008/09,Summer,10.0,5.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,5.0,2.0,8.0,0.8
2008/09,Fall,10,5,3,3,2,2,3,3,4,2,4,2,8,0.8
2008/09,Winter,13,8,8,4,4,5,4,4,4,6,6,4,9,0.69
2008/09,Spring,12.0,7.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,7.0,4.0,8.0,0.67
2009/10,Summer,12.0,5.0,4.0,3.0,3.0,4.0,5.0,6.0,5.0,6.0,6.0,3.0,9.0,0.75
2009/10,Fall,15,7,7,5,3,4,6,3,4,7,7,3,12,0.8
2009/10,Winter,15,8,7,5,4,5,5,4,6,6,6,4,11,0.73
2009/10,Spring,15.0,10.0,8.0,7.0,5.0,4.0,7.0,5.0,6.0,7.0,4.0,4.0,11.0,0.73
2010/11,Summer,15.0,9.0,7.0,6.0,5.0,7.0,5.0,6.0,5.0,6.0,7.0,5.0,10.0,0.67
2010/11,Fall,15,9,6,5,4,4,6,6,6,7,9,4,11,0.73
2010/11,Winter,15,9,5,4,2,3,3,3,5,6,6,2,13,0.87
2010/11,Spring,15.0,8.0,7.0,4.0,3.0,2.0,6.0,2.0,5.0,4.0,6.0,2.0,13.0,0.87
2011/12,Summer,15.0,7.0,3.0,4.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,12.0,0.8
2011/12,Fall,15,7,6,6,4,3,3,3,5,6,9,3,12,0.8
2011/12,Winter,15,3,2,2,3,4,2,4,4,5,6,2,13,0.87
2011/12,Spring,15.0,8.0,7.0,5.0,6.0,5.0,2.0,3.0,5.0,8.0,6.0,2.0,13.0,0.87
2012/13,Summer,15.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,5.0,2.0,13.0,0.87
2012/13,Fall,15,8,3,3,4,5,6,4,6,4,6,3,12,0.8
2012/13,Winter,15,4,4,5,4,2,4,3,4,4,4,2,13,0.87
2012/13,Spring,15.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,13.0,0.87
2013/14,Summer,17.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,6.0,2.0,15.0,0.88
2013/14,Fall,17,4,1,3,2,1,1,3,5,5,4,1,16,0.94
2013/14,Winter,17,3,3,4,4,4,4,4,3,2,5,2,15,0.88
2013/14,Spring,17.0,9.0,6.0,4.0,2.0,4.0,5.0,4.0,3.0,7.0,9.0,2.0,15.0,0.88
2014/15,Summer,17,6,4,3,3,4,6,5,5,3,6,3,14,0.82
2014/15,Fall,17,10,8,5,5,5,4,4,4,6,6,4,13,0.76
2014/15,Winter,17,7,8,5,4,4,4,4,5,6,7,4,13,0.76
2014/15,Spring,12,7,6,5,2,4,4,5,5,5,6,2,10,0.83
