year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,94.0,44.0,25.0,13.0,4.0,3.0,3.0,4.0,5.0,9.0,12.0,3.0,91.0,0.97
2000/01,Fall,100,55,13,3,5,3,3,4,4,2,6,2,98,0.98
2000/01,Winter,104,50,26,11,12,5,5,4,5,8,4,4,100,0.96
2000/01,Spring,109.0,63.0,26.0,13.0,9.0,8.0,6.0,5.0,4.0,6.0,7.0,4.0,105.0,0.96
2001/02,Summer,104.0,61.0,46.0,27.0,15.0,14.0,12.0,14.0,18.0,21.0,30.0,12.0,92.0,0.88
2001/02,Fall,104,55,23,10,6,6,4,3,6,5,3,3,101,0.97
2001/02,Winter,104,34,13,8,5,0,3,2,5,4,3,0,104,1.0
2001/02,Spring,104.0,37.0,14.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,103.0,0.99
2002/03,Summer,104.0,66.0,34.0,17.0,11.0,9.0,11.0,12.0,18.0,13.0,10.0,9.0,95.0,0.91
2002/03,Fall,104,46,15,10,9,12,11,9,11,6,4,4,100,0.96
2002/03,Winter,104,44,14,3,2,1,3,5,7,5,1,1,103,0.99
2002/03,Spring,104.0,61.0,21.0,4.0,3.0,8.0,2.0,3.0,5.0,4.0,5.0,2.0,102.0,0.98
2003/04,Summer,104.0,54.0,32.0,14.0,7.0,7.0,9.0,7.0,17.0,17.0,14.0,7.0,97.0,0.93
2003/04,Fall,104,44,17,6,4,4,10,4,6,5,3,3,101,0.97
2003/04,Winter,104,38,14,7,2,3,4,4,5,4,3,2,102,0.98
2003/04,Spring,104.0,53.0,22.0,9.0,8.0,6.0,3.0,5.0,9.0,4.0,1.0,1.0,103.0,0.99
2004/05,Summer,104.0,62.0,44.0,19.0,6.0,9.0,11.0,5.0,14.0,21.0,22.0,5.0,99.0,0.95
2004/05,Fall,103,45,14,8,5,5,11,8,12,8,3,3,100,0.97
2004/05,Winter,94,29,10,3,4,3,4,4,6,6,3,3,91,0.97
2004/05,Spring,74.0,24.0,7.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,72.0,0.97
2005/06,Summer,75.0,43.0,22.0,12.0,4.0,5.0,6.0,5.0,11.0,11.0,9.0,4.0,71.0,0.95
2005/06,Fall,76,25,12,4,0,1,0,4,7,5,5,0,76,1.0
2005/06,Winter,72,19,16,6,9,4,3,1,4,2,2,1,71,0.99
2005/06,Spring,71.0,33.0,9.0,6.0,2.0,3.0,3.0,2.0,6.0,7.0,5.0,2.0,69.0,0.97
2006/07,Summer,71.0,49.0,27.0,17.0,7.0,5.0,8.0,9.0,7.0,9.0,9.0,5.0,66.0,0.93
2006/07,Fall,71,33,11,4,4,1,2,4,7,6,2,1,70,0.99
2006/07,Winter,71,19,9,5,3,1,3,3,3,2,5,1,70,0.99
2006/07,Spring,71.0,31.0,11.0,4.0,3.0,3.0,2.0,5.0,3.0,1.0,2.0,1.0,70.0,0.99
2007/08,Summer,70.0,45.0,24.0,13.0,7.0,10.0,8.0,5.0,9.0,11.0,18.0,5.0,65.0,0.93
2007/08,Fall,70,31,11,6,7,6,7,5,7,9,6,5,65,0.93
2007/08,Winter,70,35,12,5,6,4,6,4,9,8,6,4,66,0.94
2007/08,Spring,70.0,38.0,19.0,7.0,2.0,2.0,3.0,5.0,5.0,7.0,6.0,2.0,68.0,0.97
2008/09,Summer,59.0,42.0,18.0,8.0,1.0,4.0,3.0,3.0,5.0,6.0,4.0,1.0,58.0,0.98
2008/09,Fall,59,20,8,2,3,3,2,3,6,3,4,2,57,0.97
2008/09,Winter,25,8,3,1,1,1,1,2,1,2,2,1,24,0.96
2008/09,Spring,25.0,8.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,25.0,1.0
2009/10,Summer,25.0,17.0,7.0,5.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,1.0,24.0,0.96
2009/10,Fall,25,9,4,1,0,0,1,1,1,1,2,0,25,1.0
2009/10,Winter,25,8,3,2,2,1,0,1,1,0,1,0,25,1.0
