year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,154.0,136.0,104.0,72.0,56.0,53.0,53.0,50.0,47.0,49.0,65.0,47.0,107.0,0.69
2000/01,Fall,154,120,88,51,33,26,27,29,28,29,35,26,128,0.83
2000/01,Winter,154,111,79,53,30,26,23,25,24,30,41,23,131,0.85
2000/01,Spring,154.0,122.0,80.0,44.0,30.0,25.0,22.0,22.0,25.0,26.0,37.0,22.0,132.0,0.86
2001/02,Summer,154.0,131.0,100.0,74.0,56.0,51.0,49.0,50.0,50.0,56.0,68.0,49.0,105.0,0.68
2001/02,Fall,151,115,84,61,44,39,37,37,39,47,57,37,114,0.75
2001/02,Winter,149,102,62,42,28,18,19,13,16,28,32,13,136,0.91
2001/02,Spring,149.0,103.0,74.0,47.0,33.0,27.0,30.0,26.0,30.0,37.0,44.0,26.0,123.0,0.83
2002/03,Summer,154.0,107.0,87.0,70.0,61.0,57.0,54.0,55.0,60.0,70.0,80.0,54.0,100.0,0.65
2002/03,Fall,138,75,48,39,38,35,31,27,31,32,44,27,111,0.8
2002/03,Winter,138,82,58,40,25,16,17,14,20,27,36,14,124,0.9
2002/03,Spring,138.0,74.0,60.0,46.0,34.0,27.0,25.0,22.0,24.0,35.0,38.0,22.0,116.0,0.84
2003/04,Summer,137.0,102.0,84.0,69.0,55.0,55.0,54.0,51.0,54.0,59.0,70.0,51.0,86.0,0.63
2003/04,Fall,137,89,60,35,19,13,16,14,17,23,28,13,124,0.91
2003/04,Winter,137,83,62,26,3,1,1,3,9,18,22,1,136,0.99
2003/04,Spring,137.0,76.0,53.0,27.0,11.0,7.0,8.0,5.0,10.0,19.0,21.0,5.0,132.0,0.96
2004/05,Summer,136.0,98.0,69.0,49.0,37.0,38.0,38.0,38.0,42.0,49.0,58.0,37.0,99.0,0.73
2004/05,Fall,132,79,53,21,9,7,10,7,11,20,31,7,125,0.95
2004/05,Winter,177,118,95,56,33,25,28,26,28,37,42,25,152,0.86
2004/05,Spring,168.0,116.0,93.0,61.0,36.0,30.0,34.0,31.0,32.0,42.0,51.0,30.0,138.0,0.82
2005/06,Summer,175.0,143.0,119.0,85.0,62.0,59.0,54.0,53.0,57.0,68.0,79.0,53.0,122.0,0.7
2005/06,Fall,174,126,93,47,24,14,16,12,14,23,34,12,162,0.93
2005/06,Winter,162,109,79,50,3,0,8,4,3,9,19,0,162,1.0
2005/06,Spring,162.0,107.0,81.0,32.0,7.0,4.0,3.0,3.0,6.0,12.0,14.0,3.0,159.0,0.98
2006/07,Summer,162.0,140.0,100.0,67.0,43.0,35.0,31.0,28.0,33.0,39.0,57.0,28.0,134.0,0.83
2006/07,Fall,163,122,84,41,9,2,3,1,6,19,28,1,162,0.99
2006/07,Winter,161,112,74,23,4,1,1,3,1,6,20,1,160,0.99
2006/07,Spring,159.0,104.0,74.0,31.0,1.0,1.0,5.0,3.0,7.0,10.0,22.0,1.0,158.0,0.99
2007/08,Summer,159.0,124.0,93.0,58.0,31.0,27.0,28.0,26.0,22.0,33.0,45.0,22.0,137.0,0.86
2007/08,Fall,160,107,63,26,5,2,8,5,4,19,24,2,158,0.99
2007/08,Winter,160,105,66,28,6,5,5,4,9,21,29,4,156,0.98
2007/08,Spring,160.0,100.0,73.0,40.0,21.0,13.0,14.0,16.0,17.0,24.0,35.0,13.0,147.0,0.92
2008/09,Summer,160.0,110.0,92.0,67.0,46.0,35.0,30.0,30.0,34.0,43.0,67.0,30.0,130.0,0.81
2008/09,Fall,159,103,76,26,7,3,4,4,4,16,27,3,156,0.98
2008/09,Winter,157,103,63,9,3,0,1,2,2,12,27,0,157,1.0
2008/09,Spring,157.0,105.0,57.0,17.0,1.0,2.0,1.0,4.0,6.0,11.0,17.0,1.0,156.0,0.99
2009/10,Summer,157.0,115.0,75.0,41.0,21.0,14.0,15.0,18.0,17.0,23.0,45.0,14.0,143.0,0.91
2009/10,Fall,156,107,67,11,1,1,4,3,3,9,22,1,155,0.99
