year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,13.0,12.0,11.0,9.0,8.0,9.0,10.0,12.0,10.0,10.0,11.0,8.0,5.0,0.38
2000/01,Fall,13,11,9,7,8,6,7,7,7,7,6,6,7,0.54
2000/01,Winter,13,11,10,9,8,7,8,9,9,9,11,7,6,0.46
2000/01,Spring,13.0,11.0,10.0,9.0,7.0,6.0,6.0,7.0,7.0,9.0,9.0,6.0,7.0,0.54
2001/02,Summer,13.0,12.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,12.0,12.0,9.0,4.0,0.31
2001/02,Fall,13,11,9,8,8,7,7,7,8,8,8,7,6,0.46
2001/02,Winter,13,6,6,5,6,7,7,8,9,7,9,5,8,0.62
2001/02,Spring,13.0,9.0,8.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,0.54
2002/03,Summer,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,4.0,0.29
2002/03,Fall,14,13,12,10,9,9,10,9,10,11,11,9,5,0.36
2002/03,Winter,14,12,9,8,8,8,9,9,8,8,9,8,6,0.43
2002/03,Spring,14.0,11.0,9.0,7.0,6.0,6.0,7.0,6.0,7.0,8.0,9.0,6.0,8.0,0.57
2003/04,Summer,14.0,11.0,10.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,10.0,7.0,7.0,0.5
2003/04,Fall,14,7,7,6,5,5,6,5,5,6,8,5,9,0.64
2003/04,Winter,14,7,5,3,3,3,4,3,4,5,7,3,11,0.79
2003/04,Spring,14.0,9.0,6.0,5.0,4.0,5.0,4.0,4.0,5.0,6.0,8.0,4.0,10.0,0.71
2004/05,Summer,14.0,11.0,7.0,6.0,5.0,5.0,7.0,6.0,7.0,9.0,9.0,5.0,9.0,0.64
2004/05,Fall,14,6,3,4,2,2,2,3,3,5,7,2,12,0.86
2004/05,Winter,14,8,5,4,3,3,3,2,2,3,4,2,12,0.86
2004/05,Spring,15.0,11.0,7.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,12.0,0.8
2005/06,Summer,16.0,14.0,10.0,7.0,6.0,7.0,8.0,9.0,8.0,8.0,10.0,6.0,10.0,0.63
2005/06,Fall,16,10,6,4,3,1,3,1,2,3,4,1,15,0.94
2005/06,Winter,22,17,11,8,6,4,3,4,6,8,10,3,19,0.86
2005/06,Spring,22.0,17.0,11.0,5.0,3.0,3.0,3.0,4.0,6.0,5.0,6.0,3.0,19.0,0.86
2006/07,Summer,22.0,18.0,13.0,10.0,10.0,10.0,10.0,8.0,9.0,11.0,13.0,8.0,14.0,0.64
2006/07,Fall,22,16,10,4,3,2,3,2,3,6,7,2,20,0.91
2006/07,Winter,22,16,12,9,6,4,3,5,3,6,8,3,19,0.86
2006/07,Spring,22.0,14.0,11.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,19.0,0.86
2007/08,Summer,22.0,17.0,14.0,10.0,7.0,6.0,7.0,6.0,6.0,6.0,11.0,6.0,16.0,0.73
2007/08,Fall,22,14,11,6,5,2,4,5,5,6,9,2,20,0.91
2007/08,Winter,22,17,12,6,3,3,4,1,3,4,6,1,21,0.95
2007/08,Spring,22.0,15.0,9.0,7.0,3.0,5.0,6.0,3.0,4.0,4.0,8.0,3.0,19.0,0.86
2008/09,Summer,22.0,19.0,17.0,13.0,10.0,9.0,9.0,8.0,8.0,10.0,15.0,8.0,14.0,0.64
2008/09,Fall,28,22,18,13,11,9,3,8,7,10,14,3,25,0.89
2008/09,Winter,28,23,20,10,5,3,2,1,2,5,8,1,27,0.96
2008/09,Spring,28.0,22.0,20.0,9.0,4.0,3.0,2.0,4.0,4.0,8.0,11.0,2.0,26.0,0.93
2009/10,Summer,28.0,24.0,21.0,17.0,15.0,14.0,15.0,13.0,13.0,15.0,21.0,13.0,15.0,0.54
2009/10,Fall,28,23,19,14,10,7,7,5,7,10,14,5,23,0.82
2009/10,Winter,28,20,12,6,3,2,6,5,4,8,12,2,26,0.93
2009/10,Spring,28.0,21.0,16.0,10.0,5.0,6.0,4.0,6.0,7.0,9.0,15.0,4.0,24.0,0.86
2010/11,Summer,28.0,23.0,18.0,14.0,13.0,12.0,11.0,9.0,8.0,13.0,17.0,8.0,20.0,0.71
2010/11,Fall,28,21,14,7,6,5,7,5,6,9,13,5,23,0.82
2010/11,Winter,28,18,12,6,4,5,6,7,8,11,15,4,24,0.86
2010/11,Spring,28.0,18.0,14.0,9.0,8.0,6.0,4.0,6.0,7.0,4.0,14.0,4.0,24.0,0.86
2011/12,Summer,28.0,12.0,9.0,6.0,5.0,6.0,7.0,6.0,9.0,11.0,22.0,5.0,23.0,0.82
2011/12,Fall,28,19,15,7,6,5,5,5,7,9,15,5,23,0.82
2011/12,Winter,28,16,12,7,3,1,3,2,3,7,13,1,27,0.96
2011/12,Spring,28.0,14.0,10.0,5.0,5.0,4.0,7.0,6.0,8.0,8.0,15.0,4.0,24.0,0.86
2012/13,Summer,28.0,15.0,13.0,7.0,6.0,7.0,6.0,6.0,6.0,9.0,19.0,6.0,22.0,0.79
2012/13,Fall,28,14,9,4,2,1,4,4,7,6,14,1,27,0.96
2012/13,Winter,28,15,9,6,2,2,2,3,5,7,19,2,26,0.93
2012/13,Spring,28.0,15.0,8.0,3.0,3.0,2.0,4.0,5.0,8.0,10.0,13.0,2.0,26.0,0.93
2013/14,Summer,28.0,21.0,19.0,13.0,13.0,9.0,10.0,11.0,10.0,11.0,16.0,9.0,19.0,0.68
2013/14,Fall,28,20,15,6,5,5,4,4,6,6,14,4,24,0.86
2013/14,Winter,28,17,12,5,3,3,5,3,7,8,10,3,25,0.89
2013/14,Spring,28.0,15.0,8.0,3.0,2.0,4.0,4.0,3.0,2.0,6.0,13.0,2.0,26.0,0.93
2014/15,Summer,28,17,13,7,8,5,6,6,8,13,18,5,23,0.82
2014/15,Fall,28,15,11,5,3,1,1,3,2,5,11,1,27,0.96
2014/15,Winter,28,11,8,2,2,1,1,1,2,4,10,1,27,0.96
2014/15,Spring,28,16,9,5,2,1,2,5,5,5,12,1,27,0.96
