year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,604.0,402.0,289.0,193.0,146.0,132.0,128.0,135.0,139.0,170.0,241.0,128.0,476.0,0.79
2000/01,Fall,604,209,135,83,62,49,55,55,56,66,80,49,555,0.92
2000/01,Winter,604,184,119,84,53,48,45,48,47,65,96,45,559,0.93
2000/01,Spring,604.0,210.0,127.0,80.0,58.0,46.0,46.0,40.0,52.0,58.0,86.0,40.0,564.0,0.93
2001/02,Summer,604.0,403.0,323.0,224.0,161.0,149.0,148.0,139.0,168.0,201.0,251.0,139.0,465.0,0.77
2001/02,Fall,604,200,131,99,78,65,60,65,71,84,106,60,544,0.9
2001/02,Winter,604,168,101,70,51,43,45,41,46,65,99,41,563,0.93
2001/02,Spring,604.0,169.0,113.0,79.0,57.0,53.0,60.0,52.0,69.0,83.0,106.0,52.0,552.0,0.91
2002/03,Summer,505.0,251.0,208.0,159.0,130.0,121.0,120.0,117.0,142.0,171.0,213.0,117.0,388.0,0.77
2002/03,Fall,505,187,122,87,69,65,69,59,82,89,123,59,446,0.88
2002/03,Winter,505,195,121,81,57,47,47,40,51,67,105,40,465,0.92
2002/03,Spring,505.0,187.0,112.0,78.0,58.0,52.0,53.0,51.0,64.0,79.0,109.0,51.0,454.0,0.9
2003/04,Summer,505.0,270.0,237.0,185.0,143.0,144.0,148.0,152.0,160.0,197.0,244.0,143.0,362.0,0.72
2003/04,Fall,505,225,105,63,42,38,44,43,62,76,108,38,467,0.92
2003/04,Winter,505,162,91,42,23,14,15,18,35,59,88,14,491,0.97
2003/04,Spring,505.0,135.0,79.0,46.0,25.0,26.0,27.0,27.0,42.0,63.0,94.0,25.0,480.0,0.95
2004/05,Summer,505.0,234.0,169.0,117.0,89.0,85.0,97.0,100.0,149.0,187.0,226.0,85.0,420.0,0.83
2004/05,Fall,505,129,87,46,31,25,30,31,64,105,139,25,480,0.95
2004/05,Winter,505,193,136,84,58,41,50,54,77,113,142,41,464,0.92
2004/05,Spring,498.0,203.0,136.0,93.0,58.0,51.0,63.0,62.0,81.0,117.0,138.0,51.0,447.0,0.9
2005/06,Summer,507.0,295.0,235.0,165.0,110.0,105.0,102.0,105.0,130.0,168.0,206.0,102.0,405.0,0.8
2005/06,Fall,507,253,158,81,51,32,39,30,41,64,92,30,477,0.94
2005/06,Winter,504,251,131,88,35,28,35,24,23,48,74,23,481,0.95
2005/06,Spring,504.0,251.0,135.0,72.0,40.0,29.0,26.0,25.0,36.0,49.0,69.0,25.0,479.0,0.95
2006/07,Summer,504.0,324.0,218.0,138.0,89.0,78.0,85.0,73.0,89.0,114.0,168.0,73.0,431.0,0.86
2006/07,Fall,503,262,149,78,36,25,32,23,36,59,85,23,480,0.95
2006/07,Winter,503,231,124,52,28,19,20,22,21,36,76,19,484,0.96
2006/07,Spring,503.0,208.0,130.0,66.0,24.0,28.0,38.0,34.0,31.0,48.0,71.0,24.0,479.0,0.95
2007/08,Summer,503.0,297.0,217.0,135.0,80.0,71.0,81.0,78.0,79.0,111.0,159.0,71.0,432.0,0.86
2007/08,Fall,503,252,125,71,43,33,47,36,41,63,100,33,470,0.93
2007/08,Winter,503,249,140,70,34,32,38,37,45,69,116,32,471,0.94
2007/08,Spring,503.0,246.0,148.0,85.0,55.0,46.0,48.0,46.0,51.0,72.0,124.0,46.0,457.0,0.91
2008/09,Summer,504.0,292.0,225.0,157.0,115.0,92.0,86.0,88.0,98.0,131.0,215.0,86.0,418.0,0.83
2008/09,Fall,510,213,150,76,50,38,33,39,41,67,122,33,477,0.94
2008/09,Winter,510,230,133,58,36,31,33,27,34,49,107,27,483,0.95
2008/09,Spring,510.0,264.0,128.0,64.0,27.0,32.0,33.0,37.0,41.0,57.0,104.0,27.0,483.0,0.95
2009/10,Summer,510.0,292.0,181.0,114.0,73.0,66.0,74.0,73.0,77.0,98.0,187.0,66.0,444.0,0.87
2009/10,Fall,510,295,147,65,42,37,51,41,43,64,137,37,473,0.93
2009/10,Winter,510,248,123,52,34,28,31,34,46,78,142,28,482,0.95
2009/10,Spring,510.0,253.0,154.0,81.0,39.0,38.0,33.0,37.0,44.0,67.0,132.0,33.0,477.0,0.94
2010/11,Summer,510.0,323.0,231.0,132.0,101.0,98.0,90.0,85.0,93.0,135.0,221.0,85.0,425.0,0.83
2010/11,Fall,510,259,149,78,41,34,39,42,58,83,153,34,476,0.93
2010/11,Winter,510,239,130,60,38,32,39,36,47,75,149,32,478,0.94
2010/11,Spring,509.0,264.0,168.0,84.0,50.0,43.0,50.0,47.0,55.0,69.0,165.0,43.0,466.0,0.92
2011/12,Summer,507.0,318.0,241.0,139.0,87.0,76.0,82.0,77.0,91.0,124.0,217.0,76.0,431.0,0.85
2011/12,Fall,508,243,167,82,50,33,42,39,38,60,158,33,475,0.94
2011/12,Winter,510,225,137,83,31,31,35,32,39,77,132,31,479,0.94
2011/12,Spring,510.0,205.0,141.0,83.0,58.0,42.0,48.0,50.0,56.0,80.0,156.0,42.0,468.0,0.92
2012/13,Summer,510.0,282.0,187.0,111.0,69.0,67.0,71.0,77.0,81.0,106.0,224.0,67.0,443.0,0.87
2012/13,Fall,510,238,149,97,56,46,58,57,62,83,151,46,464,0.91
2012/13,Winter,510,253,148,81,38,38,46,44,53,83,172,38,472,0.93
2012/13,Spring,510.0,246.0,149.0,89.0,53.0,37.0,46.0,54.0,63.0,93.0,182.0,37.0,473.0,0.93
2013/14,Summer,510.0,318.0,250.0,158.0,113.0,101.0,109.0,100.0,114.0,144.0,230.0,100.0,410.0,0.8
2013/14,Fall,510,276,171,83,47,39,38,35,44,69,144,35,475,0.93
2013/14,Winter,510,257,160,92,44,32,37,35,67,85,147,32,478,0.94
2013/14,Spring,510.0,248.0,145.0,85.0,50.0,46.0,46.0,40.0,46.0,87.0,170.0,40.0,470.0,0.92
2014/15,510,292,191,128,99,87,87,87,98,141,237,87,423,0.83
2014/15,510,235,152,89,55,40,36,39,43,77,138,36,474,0.93
2014/15,510,208,120,59,30,31,32,32,49,85,142,30,480,0.94
2014/15,510,279,180,106,51,34,42,48,51,73,127,34,476,0.93
