year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,156.0,93.0,58.0,41.0,32.0,25.0,21.0,23.0,23.0,33.0,53.0,21.0,135.0,0.87
2000/01,Fall,156,38,1,0,0,0,1,2,2,7,18,0,156,1.0
2000/01,Winter,156,27,0,0,0,0,1,0,1,9,24,0,156,1.0
2000/01,Spring,156.0,37.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,21.0,0.0,156.0,1.0
2001/02,Summer,156.0,85.0,61.0,42.0,30.0,21.0,19.0,18.0,23.0,38.0,61.0,18.0,138.0,0.88
2001/02,Fall,156,30,2,0,0,0,0,1,3,7,17,0,156,1.0
2001/02,Winter,156,16,0,0,0,1,1,0,4,12,34,0,156,1.0
2001/02,Spring,155.0,13.0,1.0,1.0,0.0,0.0,1.0,2.0,10.0,19.0,32.0,0.0,155.0,1.0
2002/03,Summer,167.0,83.0,65.0,49.0,31.0,25.0,26.0,26.0,35.0,48.0,76.0,25.0,142.0,0.85
2002/03,Fall,183,59,27,11,0,0,5,5,18,27,48,0,183,1.0
2002/03,Winter,183,62,22,6,3,0,1,3,7,13,37,0,183,1.0
2002/03,Spring,183.0,59.0,15.0,5.0,1.0,1.0,3.0,3.0,11.0,20.0,42.0,1.0,182.0,0.99
2003/04,Summer,183.0,106.0,98.0,76.0,56.0,54.0,60.0,63.0,65.0,74.0,103.0,54.0,129.0,0.7
2003/04,Fall,183,71,8,0,1,1,3,4,15,21,47,0,183,1.0
2003/04,Winter,183,39,1,1,0,0,0,1,8,17,40,0,183,1.0
2003/04,Spring,183.0,21.0,1.0,0.0,0.0,1.0,2.0,4.0,15.0,25.0,44.0,0.0,183.0,1.0
2004/05,Summer,183.0,84.0,56.0,35.0,24.0,24.0,25.0,30.0,54.0,73.0,98.0,24.0,159.0,0.87
2004/05,Fall,183,4,0,0,0,0,1,3,29,53,71,0,183,1.0
2004/05,Winter,207,26,4,0,0,1,3,5,25,51,75,0,207,1.0
2004/05,Spring,207.0,41.0,12.0,9.0,2.0,2.0,4.0,8.0,28.0,49.0,62.0,2.0,205.0,0.99
2005/06,Summer,207.0,90.0,63.0,41.0,19.0,13.0,12.0,16.0,31.0,52.0,78.0,12.0,195.0,0.94
2005/06,Fall,207,73,21,4,0,0,1,1,7,16,31,0,207,1.0
2005/06,Winter,207,74,5,0,0,0,0,0,0,9,23,0,207,1.0
2005/06,Spring,207.0,69.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0,10.0,24.0,0.0,207.0,1.0
2006/07,Summer,207.0,110.0,54.0,16.0,1.0,0.0,7.0,4.0,10.0,25.0,53.0,0.0,207.0,1.0
2006/07,Fall,207,71,6,0,0,1,1,0,1,5,20,0,207,1.0
