year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,11.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,9.0,0.82
2000/01,Fall,11,9,8,6,4,4,2,2,3,5,2,2,9,0.82
2000/01,Winter,11,7,6,4,3,4,2,4,3,3,2,2,9,0.82
2000/01,Spring,11.0,7.0,7.0,7.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,10.0,0.91
2001/02,Summer,11.0,6.0,5.0,5.0,6.0,6.0,5.0,4.0,7.0,8.0,7.0,4.0,7.0,0.64
2001/02,Fall,14,10,8,9,9,5,5,5,6,6,7,5,9,0.64
2001/02,Winter,14,9,8,5,4,5,3,6,3,4,6,3,11,0.79
2001/02,Spring,14.0,11.0,7.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,11.0,0.79
2002/03,Summer,14.0,7.0,11.0,7.0,9.0,10.0,8.0,5.0,9.0,8.0,10.0,5.0,9.0,0.64
2002/03,Fall,14,10,9,9,8,6,7,5,5,4,4,4,10,0.71
2002/03,Winter,14,9,9,7,6,8,5,3,3,5,6,3,11,0.79
2002/03,Spring,14.0,10.0,6.0,5.0,3.0,6.0,5.0,7.0,7.0,3.0,4.0,3.0,11.0,0.79
2003/04,Summer,14.0,6.0,9.0,9.0,8.0,7.0,3.0,8.0,7.0,10.0,9.0,3.0,11.0,0.79
2003/04,Fall,14,9,8,7,5,6,6,7,8,7,6,5,9,0.64
2003/04,Winter,14,9,6,2,4,2,2,3,3,3,4,2,12,0.86
2003/04,Spring,14.0,7.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,4.0,0.0,14.0,1.0
2004/05,Summer,14.0,5.0,5.0,7.0,4.0,3.0,4.0,3.0,8.0,8.0,9.0,3.0,11.0,0.79
2004/05,Fall,14,7,4,3,3,3,2,3,4,5,7,2,12,0.86
2004/05,Winter,14,7,5,3,4,2,4,4,4,4,4,2,12,0.86
2004/05,Spring,14.0,7.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,12.0,0.86
2005/06,Summer,14.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,7.0,8.0,7.0,5.0,9.0,0.64
2005/06,Fall,14,9,8,5,4,3,3,2,5,3,4,2,12,0.86
2005/06,Winter,14,9,4,5,4,3,2,3,1,2,1,1,13,0.93
2005/06,Spring,14.0,12.0,6.0,6.0,6.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,12.0,0.86
2006/07,Summer,14.0,10.0,9.0,10.0,8.0,6.0,6.0,6.0,8.0,8.0,7.0,6.0,8.0,0.57
2006/07,Fall,13,9,10,7,6,4,6,3,4,6,6,3,10,0.77
2006/07,Winter,13,8,9,3,3,2,3,1,3,2,2,1,12,0.92
2006/07,Spring,13.0,8.0,7.0,5.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,10.0,0.77
2007/08,Summer,13.0,10.0,9.0,8.0,6.0,8.0,8.0,9.0,8.0,7.0,7.0,6.0,7.0,0.54
2007/08,Fall,13,7,9,8,5,7,7,6,6,6,6,5,8,0.62
2007/08,Winter,13,9,7,7,5,3,3,5,4,4,5,3,10,0.77
2007/08,Spring,13.0,10.0,9.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,9.0,0.69
2008/09,Summer,13.0,7.0,8.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0,8.0,5.0,8.0,0.62
2008/09,Fall,13,9,8,6,5,6,4,4,3,3,3,3,10,0.77
2008/09,Winter,13,9,8,6,5,5,3,2,4,3,5,2,11,0.85
2008/09,Spring,13.0,9.0,8.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,11.0,0.85
2009/10,Summer,13.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,7.0,0.54
2009/10,Fall,13,10,10,8,7,7,8,6,8,7,7,6,7,0.54
2009/10,Winter,13,9,9,8,6,5,4,7,7,5,7,4,9,0.69
2009/10,Spring,13.0,10.0,7.0,6.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,10.0,0.77
2010/11,Summer,13.0,12.0,9.0,8.0,6.0,7.0,6.0,5.0,7.0,6.0,7.0,5.0,8.0,0.62
2010/11,Fall,13,10,8,7,5,5,5,4,6,7,5,4,9,0.69
2010/11,Winter,13,9,8,7,5,6,5,4,4,9,6,4,9,0.69
2010/11,Spring,13.0,10.0,7.0,6.0,3.0,4.0,6.0,5.0,4.0,2.0,5.0,2.0,11.0,0.85
2011/12,Summer,13.0,8.0,9.0,10.0,9.0,7.0,3.0,6.0,5.0,5.0,5.0,3.0,10.0,0.77
2011/12,Fall,14,10,10,10,10,6,6,5,6,6,7,5,9,0.64
2011/12,Winter,14,11,8,9,3,5,5,5,4,8,4,3,11,0.79
2011/12,Spring,14.0,10.0,7.0,5.0,5.0,3.0,5.0,1.0,0.0,4.0,2.0,0.0,14.0,1.0
2012/13,Summer,14.0,8.0,6.0,7.0,5.0,5.0,3.0,8.0,5.0,5.0,9.0,3.0,11.0,0.79
2012/13,Fall,14,13,9,9,7,6,8,8,3,3,7,3,11,0.79
2012/13,Winter,14,9,9,8,6,5,6,4,9,6,11,4,10,0.71
2012/13,Spring,14.0,9.0,10.0,7.0,4.0,5.0,5.0,4.0,6.0,6.0,9.0,4.0,10.0,0.71
2013/14,Summer,14.0,9.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,6.0,0.43
2013/14,Fall,14,11,9,7,5,7,4,5,5,4,8,4,10,0.71
2013/14,Winter,14,7,6,5,0,4,3,4,6,8,6,0,14,1.0
2013/14,Spring,12.0,9.0,7.0,4.0,6.0,5.0,5.0,4.0,4.0,6.0,6.0,4.0,8.0,0.67
2014/15,Summer,12,9,10,7,9,9,6,6,9,8,7,6,6,0.5
2014/15,Fall,12,10,8,7,6,6,6,4,6,5,5,4,8,0.67
2014/15,Winter,12,8,5,6,2,1,3,2,6,6,5,1,11,0.92
2014/15,Spring,12,9,9,5,5,2,5,6,4,6,6,2,10,0.83
