year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,24.0,18.0,14.0,11.0,9.0,9.0,11.0,12.0,11.0,10.0,15.0,9.0,15.0,0.63
2000/01,Fall,24,19,15,12,9,8,10,8,9,10,10,8,16,0.67
2000/01,Winter,24,18,14,10,9,7,7,7,6,8,11,6,18,0.75
2000/01,Spring,24.0,19.0,17.0,12.0,9.0,8.0,7.0,7.0,8.0,7.0,8.0,7.0,17.0,0.71
2001/02,Summer,24.0,20.0,17.0,13.0,10.0,10.0,11.0,10.0,10.0,10.0,12.0,10.0,14.0,0.58
2001/02,Fall,24,19,17,14,9,8,8,9,8,10,9,8,16,0.67
2001/02,Winter,26,21,15,13,8,7,11,10,9,11,12,7,19,0.73
2001/02,Spring,27.0,21.0,14.0,11.0,10.0,10.0,11.0,11.0,13.0,13.0,13.0,10.0,17.0,0.63
2002/03,Summer,22.0,17.0,17.0,14.0,12.0,12.0,13.0,12.0,11.0,14.0,14.0,11.0,11.0,0.5
2002/03,Fall,22,16,14,11,8,9,9,9,9,9,10,8,14,0.64
2002/03,Winter,22,17,15,13,12,12,12,9,10,10,11,9,13,0.59
2002/03,Spring,22.0,17.0,12.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,12.0,7.0,15.0,0.68
2003/04,Summer,23.0,19.0,16.0,14.0,11.0,13.0,12.0,11.0,13.0,13.0,14.0,11.0,12.0,0.52
2003/04,Fall,23,19,15,10,9,7,8,8,10,11,12,7,16,0.7
2003/04,Winter,22,16,13,8,8,7,7,6,7,7,9,6,16,0.73
2003/04,Spring,23.0,17.0,14.0,11.0,7.0,8.0,8.0,9.0,8.0,9.0,11.0,7.0,16.0,0.7
2004/05,Summer,24.0,19.0,17.0,14.0,12.0,12.0,13.0,12.0,11.0,12.0,13.0,11.0,13.0,0.54
2004/05,Fall,28,21,19,16,14,12,12,11,12,15,17,11,17,0.61
