year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,220.0,118.0,81.0,43.0,27.0,25.0,23.0,27.0,35.0,51.0,80.0,23.0,197.0,0.9
2000/01,Fall,220,0,0,0,0,0,1,0,0,0,1,0,220,1.0
2000/01,Winter,220,0,0,0,0,0,0,0,0,0,0,0,220,1.0
2000/01,Spring,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,220.0,1.0
2001/02,Summer,220.0,131.0,116.0,69.0,39.0,45.0,46.0,40.0,55.0,62.0,76.0,39.0,181.0,0.82
2001/02,Fall,220,0,0,0,0,0,0,0,0,0,1,0,220,1.0
2001/02,Winter,220,0,0,0,0,0,0,0,0,0,0,0,220,1.0
2001/02,Spring,220.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,220.0,1.0
2002/03,Summer,108.0,8.0,4.0,1.0,0.0,1.0,0.0,2.0,5.0,9.0,11.0,0.0,108.0,1.0
2002/03,Fall,108,0,0,0,0,0,0,0,1,0,0,0,108,1.0
2002/03,Winter,108,0,0,0,0,0,0,0,0,0,0,0,108,1.0
2002/03,Spring,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1.0
2003/04,Summer,108.0,9.0,8.0,2.0,0.0,0.0,2.0,2.0,5.0,16.0,24.0,0.0,108.0,1.0
2003/04,Fall,108,18,0,0,0,0,0,0,0,0,0,0,108,1.0
2003/04,Winter,109,0,0,0,0,0,0,0,0,1,0,0,109,1.0
2003/04,Spring,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1.0
2004/05,Summer,102.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,15.0,18.0,21.0,0.0,102.0,1.0
2004/05,Fall,102,0,0,0,0,0,0,0,0,0,0,0,102,1.0
2004/05,Winter,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2004/05,Spring,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0
2005/06,Summer,29.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,29.0,1.0
2005/06,Fall,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2005/06,Winter,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2005/06,Spring,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0
2006/07,Summer,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,1.0
2006/07,Fall,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2006/07,Winter,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2006/07,Spring,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0
2007/08,Summer,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,29.0,1.0
2007/08,Fall,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2007/08,Winter,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2007/08,Spring,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0
2008/09,Summer,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,29.0,1.0
2008/09,Fall,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2008/09,Winter,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2008/09,Spring,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0
2009/10,Summer,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,1.0
2009/10,Fall,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2009/10,Winter,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2009/10,Spring,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0
2010/11,Summer,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,29.0,1.0
2010/11,Fall,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2010/11,Winter,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2010/11,Spring,29.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,1.0
2011/12,Summer,29.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,29.0,1.0
2011/12,Fall,29,0,0,0,0,1,0,0,0,0,0,0,29,1.0
2011/12,Winter,29,0,0,1,0,1,0,0,0,0,0,0,29,1.0
2011/12,Spring,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,29.0,1.0
2012/13,Summer,29.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,1.0
2012/13,Fall,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2012/13,Winter,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2012/13,Spring,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0
2013/14,Summer,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,29.0,1.0
2013/14,Fall,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2013/14,Winter,29,0,0,1,0,0,0,0,0,0,0,0,29,1.0
2013/14,Spring,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0
2014/15,Summer,29,0,0,1,0,0,0,0,0,2,0,0,29,1.0
2014/15,Fall,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2014/15,Winter,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
2014/15,Spring,29,0,0,0,0,0,0,0,0,0,0,0,29,1.0
