year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,8.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,0.38
2000/01,Fall,8,6,7,4,5,3,3,4,4,6,7,3,5,0.63
2000/01,Winter,8,7,6,5,3,3,2,2,3,3,5,2,6,0.75
2000/01,Spring,8.0,6.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,3.0,5.0,0.63
2001/02,Summer,8.0,6.0,5.0,4.0,5.0,3.0,4.0,5.0,6.0,6.0,6.0,3.0,5.0,0.63
2001/02,Fall,8,6,4,3,3,3,3,3,3,3,5,3,5,0.63
2001/02,Winter,8,6,5,3,3,3,3,3,3,3,5,3,5,0.63
2001/02,Spring,8.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,6.0,0.75
2002/03,Summer,8.0,6.0,5.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,6.0,0.75
2002/03,Fall,8,5,5,2,2,2,4,2,4,4,5,2,6,0.75
2002/03,Winter,8,6,4,2,2,1,1,1,2,4,5,1,7,0.88
2002/03,Spring,8.0,6.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,7.0,0.88
2003/04,Summer,8.0,5.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,5.0,6.0,1.0,7.0,0.88
2003/04,Fall,8,5,3,2,2,2,3,3,3,4,5,2,6,0.75
2003/04,Winter,8,4,2,1,3,0,1,1,2,5,5,0,8,1.0
2003/04,Spring,8.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,7.0,0.88
2004/05,Summer,8.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,6.0,6.0,2.0,6.0,0.75
2004/05,Fall,8,3,1,0,2,0,1,1,2,3,3,0,8,1.0
2004/05,Winter,8,4,3,2,1,0,2,3,2,4,4,0,8,1.0
2004/05,Spring,8.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,1.0,7.0,0.88
2005/06,Summer,8.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,1.0,7.0,0.88
2005/06,Fall,8,4,3,0,2,1,0,1,2,3,4,0,8,1.0
2005/06,Winter,8,5,4,2,3,2,3,0,0,3,3,0,8,1.0
2005/06,Spring,8.0,4.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,8.0,1.0
2006/07,Summer,8.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,8.0,1.0
2006/07,Fall,8,5,4,2,1,0,2,1,2,2,4,0,8,1.0
2006/07,Winter,8,4,3,2,2,1,1,1,1,4,4,1,7,0.88
2006/07,Spring,8.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,8.0,1.0
2007/08,Summer,8.0,5.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,6.0,0.75
2007/08,Fall,8,6,2,3,3,3,3,2,3,3,4,2,6,0.75
2007/08,Winter,8,4,2,2,1,3,1,2,3,3,4,1,7,0.88
2007/08,Spring,8.0,5.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,7.0,0.88
