year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,18.0,12.0,9.0,7.0,5.0,2.0,2.0,2.0,4.0,7.0,6.0,2.0,16.0,0.89
2000/01,Fall,18,6,7,3,3,2,4,3,3,2,1,1,17,0.94
2000/01,Winter,18,3,4,3,0,1,2,1,1,3,2,0,18,1.0
2000/01,Spring,18.0,8.0,5.0,2.0,3.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,18.0,1.0
2001/02,Summer,18.0,12.0,8.0,7.0,6.0,4.0,4.0,3.0,7.0,9.0,9.0,3.0,15.0,0.83
2001/02,Fall,18,9,7,4,5,3,0,3,4,3,2,0,18,1.0
2001/02,Winter,18,8,5,2,2,2,1,1,2,0,1,0,18,1.0
2001/02,Spring,18.0,7.0,4.0,4.0,0.0,2.0,3.0,0.0,3.0,2.0,1.0,0.0,18.0,1.0
2002/03,Summer,18.0,11.0,9.0,5.0,5.0,3.0,6.0,3.0,9.0,7.0,7.0,3.0,15.0,0.83
2002/03,Fall,18,9,7,5,4,4,3,2,4,2,1,1,17,0.94
2002/03,Winter,18,7,4,5,1,2,2,1,1,0,1,0,18,1.0
2002/03,Spring,18.0,10.0,6.0,3.0,3.0,2.0,2.0,3.0,6.0,1.0,0.0,0.0,18.0,1.0
2003/04,Summer,18.0,12.0,8.0,6.0,3.0,4.0,6.0,7.0,6.0,11.0,8.0,3.0,15.0,0.83
2003/04,Fall,18,7,4,3,1,4,2,2,4,4,2,1,17,0.94
2003/04,Winter,18,4,2,1,2,1,0,1,2,3,1,0,18,1.0
2003/04,Spring,18.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,18.0,1.0
2004/05,Summer,24.0,11.0,10.0,3.0,3.0,0.0,6.0,6.0,7.0,12.0,12.0,0.0,24.0,1.0
2004/05,Fall,24,9,7,2,1,1,2,3,3,4,3,1,23,0.96
2004/05,Winter,30,10,5,3,3,1,2,3,6,4,1,1,29,0.97
2004/05,Spring,30.0,6.0,3.0,1.0,2.0,3.0,2.0,4.0,5.0,2.0,0.0,0.0,30.0,1.0
2005/06,Summer,30.0,13.0,11.0,7.0,5.0,5.0,4.0,5.0,10.0,13.0,11.0,4.0,26.0,0.87
2005/06,Fall,30,7,7,4,4,2,5,3,3,4,1,1,29,0.97
2005/06,Winter,30,10,6,5,4,5,4,2,3,4,3,2,28,0.93
2005/06,Spring,30.0,14.0,8.0,6.0,6.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,29.0,0.97
2006/07,Summer,30.0,16.0,14.0,10.0,7.0,5.0,8.0,6.0,8.0,10.0,14.0,5.0,25.0,0.83
2006/07,Fall,30,14,13,9,5,5,3,2,5,5,2,2,28,0.93
2006/07,Winter,30,10,6,0,1,1,3,0,2,1,0,0,30,1.0
2006/07,Spring,30.0,12.0,12.0,6.0,2.0,2.0,4.0,4.0,0.0,3.0,0.0,0.0,30.0,1.0
2007/08,Summer,30.0,15.0,14.0,12.0,11.0,9.0,8.0,8.0,9.0,13.0,12.0,8.0,22.0,0.73
2007/08,Fall,30,11,6,7,6,2,5,4,4,3,0,0,30,1.0
2007/08,Winter,30,14,14,7,3,2,5,5,3,1,0,0,30,1.0
