year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,1856.0,1325.0,1043.0,745.0,582.0,564.0,605.0,609.0,626.0,705.0,876.0,564.0,1292.0,0.7
2000/01,Fall,1930,1315,944,584,385,333,351,332,381,490,612,332,1598,0.83
2000/01,Winter,1967,1338,958,618,428,382,373,370,399,517,640,370,1597,0.81
2000/01,Spring,1963.0,1356.0,971.0,645.0,477.0,408.0,403.0,397.0,441.0,532.0,658.0,397.0,1566.0,0.8
2001/02,Summer,1914.0,1391.0,1076.0,817.0,646.0,619.0,658.0,652.0,679.0,761.0,899.0,619.0,1295.0,0.68
2001/02,Fall,1971,1348,921,586,401,357,357,361,404,548,647,357,1614,0.82
2001/02,Winter,1866,1235,803,454,270,230,251,245,298,406,517,230,1636,0.88
2001/02,Spring,1858.0,1238.0,866.0,529.0,330.0,293.0,293.0,292.0,362.0,464.0,553.0,292.0,1566.0,0.84
2002/03,Summer,1852.0,1292.0,1008.0,770.0,622.0,597.0,619.0,613.0,650.0,730.0,893.0,597.0,1255.0,0.68
2002/03,Fall,1821,1207,756,430,268,256,249,251,323,435,566,249,1572,0.86
2002/03,Winter,1817,1189,735,376,195,168,176,179,255,393,504,168,1649,0.91
2002/03,Spring,1843.0,1217.0,792.0,456.0,287.0,253.0,254.0,261.0,326.0,473.0,568.0,253.0,1590.0,0.86
2003/04,Summer,1861.0,1281.0,959.0,702.0,574.0,572.0,618.0,587.0,631.0,735.0,876.0,572.0,1289.0,0.69
2003/04,Fall,1828,1164,709,365,214,198,229,210,280,402,497,198,1630,0.89
2003/04,Winter,1805,1176,730,364,192,171,191,182,251,374,460,171,1634,0.91
2003/04,Spring,1798.0,1179.0,777.0,440.0,272.0,239.0,244.0,240.0,301.0,437.0,541.0,239.0,1559.0,0.87
2004/05,Summer,1826.0,1337.0,1002.0,721.0,591.0,577.0,611.0,590.0,631.0,748.0,870.0,577.0,1249.0,0.68
2004/05,Fall,1780,1171,769,417,242,220,226,212,284,389,499,212,1568,0.88
2004/05,Winter,2097,1400,1002,602,417,384,384,363,444,599,706,363,1734,0.83
2004/05,Spring,2012.0,1332.0,904.0,538.0,361.0,340.0,328.0,308.0,372.0,514.0,637.0,308.0,1704.0,0.85
2005/06,Summer,2080.0,1520.0,1178.0,893.0,729.0,734.0,747.0,745.0,804.0,928.0,1089.0,729.0,1351.0,0.65
2005/06,Fall,2045,1387,1014,632,466,443,435,451,518,664,787,435,1610,0.79
2005/06,Winter,2029,1350,892,559,362,333,352,352,446,585,679,333,1696,0.84
2005/06,Spring,2033.0,1361.0,918.0,605.0,451.0,421.0,423.0,404.0,487.0,619.0,721.0,404.0,1629.0,0.8
2006/07,Summer,1980.0,1470.0,1111.0,843.0,670.0,662.0,686.0,656.0,707.0,849.0,1008.0,656.0,1324.0,0.67
2006/07,Fall,1961,1348,879,505,355,355,342,332,427,558,671,332,1629,0.83
2006/07,Winter,1986,1219,820,426,288,273,282,301,364,485,658,273,1713,0.86
2006/07,Spring,1977.0,1278.0,911.0,546.0,350.0,344.0,329.0,315.0,399.0,530.0,672.0,315.0,1662.0,0.84
2007/08,Summer,1974.0,1388.0,1068.0,772.0,624.0,598.0,614.0,609.0,673.0,805.0,973.0,598.0,1376.0,0.7
2007/08,Fall,2073,1391,929,540,361,337,375,368,453,606,706,337,1736,0.84
2007/08,Winter,2136,1551,1040,636,416,368,350,370,428,586,669,350,1786,0.84
2007/08,Spring,2067.0,1450.0,1045.0,655.0,431.0,394.0,414.0,429.0,494.0,600.0,726.0,394.0,1673.0,0.81
2008/09,Summer,2084.0,1578.0,1232.0,933.0,736.0,701.0,716.0,713.0,759.0,852.0,1064.0,701.0,1383.0,0.66
2008/09,Fall,2029,1387,1019,601,377,292,304,317,370,501,636,292,1737,0.86
2008/09,Winter,1967,1411,997,545,305,231,246,219,246,365,543,219,1748,0.89
2008/09,Spring,1964.0,1369.0,940.0,504.0,274.0,228.0,225.0,225.0,283.0,431.0,523.0,225.0,1739.0,0.89
2009/10,Summer,1900.0,1427.0,1072.0,766.0,560.0,514.0,540.0,558.0,577.0,709.0,946.0,514.0,1386.0,0.73
2009/10,Fall,1958,1384,946,482,258,202,202,216,281,421,561,202,1756,0.9
2009/10,Winter,2035,1447,938,441,196,156,164,162,216,369,519,156,1879,0.92
2009/10,Spring,2071.0,1429.0,1009.0,549.0,309.0,227.0,243.0,246.0,307.0,446.0,555.0,227.0,1844.0,0.89
2010/11,Summer,2069.0,1547.0,1147.0,796.0,607.0,564.0,571.0,577.0,634.0,755.0,985.0,564.0,1505.0,0.73
2010/11,Fall,2128,1497,983,502,280,199,216,217,274,436,595,199,1929,0.91
2010/11,Winter,2344,1661,1140,670,446,384,376,383,446,584,673,376,1968,0.84
2010/11,Spring,2327.0,1664.0,1239.0,761.0,477.0,384.0,386.0,386.0,417.0,567.0,709.0,384.0,1943.0,0.83
2011/12,Summer,2285.0,1696.0,1372.0,945.0,691.0,629.0,649.0,630.0,677.0,838.0,1044.0,629.0,1656.0,0.72
2011/12,Fall,2326,1643,1216,687,471,402,397,401,441,620,804,397,1929,0.83
2011/12,Winter,2084,1509,1074,548,278,213,218,209,245,418,550,209,1875,0.9
2011/12,Spring,2114.0,1562.0,1151.0,656.0,418.0,360.0,328.0,335.0,397.0,523.0,671.0,328.0,1786.0,0.84
2012/13,Summer,2168.0,1631.0,1270.0,854.0,653.0,601.0,641.0,639.0,700.0,818.0,1018.0,601.0,1567.0,0.72
2012/13,Fall,2160,1549,1110,628,373,302,327,319,399,580,731,302,1858,0.86
2012/13,Winter,2188,1583,1126,566,299,227,194,210,281,481,697,194,1994,0.91
2012/13,Spring,2186.0,1517.0,1136.0,660.0,396.0,325.0,339.0,327.0,399.0,550.0,747.0,325.0,1861.0,0.85
2013/14,Summer,2237.0,1704.0,1332.0,882.0,659.0,594.0,624.0,609.0,665.0,826.0,1074.0,594.0,1643.0,0.73
2013/14,Fall,2226,1565,1142,613,331,271,265,272,344,534,697,265,1961,0.88
2013/14,Winter,2218,1515,1026,539,286,194,210,230,306,482,626,194,2024,0.91
2013/14,Spring,2216.0,1557.0,1082.0,627.0,367.0,284.0,290.0,271.0,322.0,511.0,678.0,271.0,1945.0,0.88
2014/15,Summer,2167,1588,1152,720,492,434,496,515,556,725,965,434,1733,0.8
2014/15,Fall,2200,1516,1006,519,267,216,235,248,299,481,669,216,1984,0.9
2014/15,Winter,2212,1446,930,436,191,148,176,175,263,471,699,148,2064,0.93
2014/15,Spring,2246,1657,1131,606,335,257,250,246,328,482,680,246,2000,0.89
