year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,276.0,202.0,167.0,138.0,132.0,135.0,136.0,135.0,138.0,160.0,189.0,132.0,144.0,0.52
2000/01,Fall,290,202,162,131,119,122,128,117,125,141,179,117,173,0.6
2000/01,Winter,324,232,199,159,146,147,149,148,153,179,210,146,178,0.55
2000/01,Spring,327.0,233.0,194.0,160.0,143.0,144.0,147.0,147.0,158.0,188.0,209.0,143.0,184.0,0.56
2001/02,Summer,328.0,248.0,213.0,181.0,166.0,166.0,165.0,167.0,176.0,197.0,232.0,165.0,163.0,0.5
2001/02,Fall,337,231,186,147,141,142,142,148,165,198,219,141,196,0.58
2001/02,Winter,348,247,203,165,152,155,162,149,162,198,234,149,199,0.57
2001/02,Spring,346.0,241.0,197.0,169.0,151.0,153.0,153.0,148.0,168.0,190.0,231.0,148.0,198.0,0.57
2002/03,Summer,349.0,254.0,214.0,186.0,170.0,167.0,177.0,171.0,182.0,213.0,254.0,167.0,182.0,0.52
2002/03,Fall,360,251,200,152,141,147,149,148,169,196,234,141,219,0.61
2002/03,Winter,360,250,199,158,141,137,147,146,158,193,239,137,223,0.62
2002/03,Spring,360.0,240.0,189.0,146.0,132.0,136.0,126.0,132.0,157.0,201.0,247.0,126.0,234.0,0.65
2003/04,Summer,365.0,253.0,203.0,175.0,162.0,160.0,167.0,165.0,180.0,223.0,270.0,160.0,205.0,0.56
2003/04,Fall,371,227,180,141,128,138,136,138,157,193,237,128,243,0.65
2003/04,Winter,370,225,181,130,115,119,123,114,144,182,233,114,256,0.69
2003/04,Spring,370.0,234.0,180.0,133.0,124.0,129.0,136.0,137.0,156.0,192.0,226.0,124.0,246.0,0.66
2004/05,Summer,370.0,259.0,202.0,172.0,156.0,162.0,174.0,163.0,184.0,222.0,253.0,156.0,214.0,0.58
2004/05,Fall,374,237,178,143,125,120,127,129,153,198,245,120,254,0.68
2004/05,Winter,379,244,182,147,125,131,133,135,156,194,237,125,254,0.67
2004/05,Spring,375.0,230.0,178.0,136.0,120.0,118.0,116.0,118.0,131.0,179.0,224.0,116.0,259.0,0.69
2005/06,Summer,391.0,258.0,212.0,172.0,162.0,164.0,169.0,172.0,188.0,232.0,279.0,162.0,229.0,0.59
2005/06,Fall,391,239,180,132,123,121,125,124,151,195,245,121,270,0.69
2005/06,Winter,398,250,176,139,114,121,122,122,154,198,245,114,284,0.71
2005/06,Spring,389.0,233.0,165.0,126.0,116.0,116.0,112.0,119.0,148.0,185.0,223.0,112.0,277.0,0.71
2006/07,Summer,387.0,244.0,188.0,152.0,143.0,151.0,160.0,156.0,176.0,220.0,255.0,143.0,244.0,0.63
2006/07,Fall,389,223,159,115,103,105,112,103,137,185,245,103,286,0.74
2006/07,Winter,390,225,157,112,97,101,98,104,125,175,228,97,293,0.75
2006/07,Spring,407.0,226.0,161.0,116.0,101.0,107.0,115.0,113.0,134.0,176.0,232.0,101.0,306.0,0.75
2007/08,Summer,408.0,241.0,188.0,155.0,137.0,138.0,150.0,149.0,172.0,214.0,270.0,137.0,271.0,0.66
2007/08,Fall,433,262,198,149,128,145,148,147,171,213,268,128,305,0.7
2007/08,Winter,433,275,203,151,131,135,135,135,154,213,259,131,302,0.7
2007/08,Spring,430.0,265.0,205.0,150.0,130.0,134.0,135.0,135.0,162.0,202.0,260.0,130.0,300.0,0.7
2008/09,Summer,423.0,272.0,225.0,176.0,152.0,167.0,166.0,173.0,190.0,219.0,270.0,152.0,271.0,0.64
2008/09,Fall,429,264,204,156,133,133,127,139,157,194,246,127,302,0.7
2008/09,Winter,435,273,208,154,132,132,132,126,154,192,251,126,309,0.71
