year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,16329.0,10487.0,8647.0,7172.0,6367.0,6586.0,6805.0,6863.0,7069.0,7824.0,9275.0,6367.0,9962.0,0.61
2000/01,Fall,16677,9185,6588,4218,3051,2864,2944,2936,3478,4490,6323,2864,13813,0.83
2000/01,Winter,17808,9951,7237,5125,3970,3804,3748,3760,4269,5446,7285,3748,14060,0.79
2000/01,Spring,17818.0,10230.0,7435.0,5386.0,4169.0,3937.0,3922.0,3958.0,4509.0,5517.0,7163.0,3922.0,13896.0,0.78
2001/02,Summer,17791.0,12028.0,10084.0,8483.0,7564.0,7680.0,7916.0,7884.0,8188.0,8937.0,10306.0,7564.0,10227.0,0.57
2001/02,Fall,17869,10413,7327,4870,3656,3489,3527,3548,4235,5419,7045,3489,14380,0.8
2001/02,Winter,17932,10357,7166,4838,3510,3242,3290,3224,3792,4911,6841,3224,14708,0.82
2001/02,Spring,17903.0,10173.0,7485.0,5149.0,3852.0,3497.0,3444.0,3379.0,4036.0,5072.0,6896.0,3379.0,14524.0,0.81
2002/03,Summer,17767.0,11199.0,9161.0,7714.0,6720.0,6631.0,7004.0,6917.0,7356.0,8253.0,9741.0,6631.0,11136.0,0.63
2002/03,Fall,17612,10174,6831,4342,3157,3080,3128,3070,3922,5357,7120,3070,14542,0.83
2002/03,Winter,17447,10025,6792,4211,2920,2636,2680,2679,3446,4823,6781,2636,14811,0.85
2002/03,Spring,17494.0,10229.0,7205.0,4769.0,3471.0,3267.0,3156.0,2951.0,3747.0,5266.0,7018.0,2951.0,14543.0,0.83
2003/04,Summer,17458.0,9789.0,7634.0,6350.0,5589.0,5614.0,5948.0,5877.0,6342.0,7374.0,8904.0,5589.0,11869.0,0.68
2003/04,Fall,17299,9272,6234,3968,3011,2963,3118,2929,3691,5039,6674,2929,14370,0.83
2003/04,Winter,17357,9339,6415,4064,2827,2710,2787,2806,3609,4917,6657,2710,14647,0.84
2003/04,Spring,17300.0,9129.0,6246.0,4107.0,3050.0,2904.0,2915.0,2959.0,3717.0,5049.0,6612.0,2904.0,14396.0,0.83
2004/05,Summer,17308.0,11274.0,9047.0,7465.0,6764.0,6742.0,7042.0,6927.0,7452.0,8479.0,9950.0,6742.0,10566.0,0.61
2004/05,Fall,17599,9454,6524,4288,3086,3036,3116,3077,3902,5206,6885,3036,14563,0.83
2004/05,Winter,17986,9635,6916,4601,3469,3300,3293,3317,4161,5641,7317,3293,14693,0.82
2004/05,Spring,17918.0,9742.0,7096.0,4794.0,3510.0,3378.0,3376.0,3407.0,4184.0,5472.0,7203.0,3376.0,14542.0,0.81
2005/06,Summer,18069.0,11857.0,9805.0,8258.0,7380.0,7378.0,7554.0,7518.0,8081.0,9266.0,10881.0,7378.0,10691.0,0.59
2005/06,Fall,17815,9908,7290,4939,3779,3697,3629,3682,4375,5831,7683,3629,14186,0.8
2005/06,Winter,18001,10014,7025,4915,3744,3551,3528,3597,4371,5831,7700,3528,14473,0.8
2005/06,Spring,17982.0,9805.0,6994.0,5086.0,4009.0,3786.0,3790.0,3765.0,4467.0,5769.0,7446.0,3765.0,14217.0,0.79
2006/07,Summer,17958.0,11432.0,9075.0,7585.0,6825.0,6848.0,7037.0,6997.0,7468.0,8600.0,10143.0,6825.0,11133.0,0.62
2006/07,Fall,17980,10160,7225,5097,4064,4061,4130,4095,4753,6113,7886,4061,13919,0.77
2006/07,Winter,17833,9005,6296,4364,3444,3430,3318,3267,3981,5360,7243,3267,14566,0.82
2006/07,Spring,17881.0,9455.0,6904.0,4910.0,3787.0,3643.0,3670.0,3585.0,4279.0,5591.0,7443.0,3585.0,14296.0,0.8
2007/08,Summer,17894.0,10967.0,8939.0,7399.0,6530.0,6424.0,6621.0,6624.0,7243.0,8414.0,10209.0,6424.0,11470.0,0.64
2007/08,Fall,18556,10439,7162,4966,3948,3864,4050,4082,4889,6201,7987,3864,14692,0.79
2007/08,Winter,18344,10995,7598,5367,4150,3996,4035,4029,4648,5942,7609,3996,14348,0.78
2007/08,Spring,18245.0,10524.0,7682.0,5406.0,4255.0,3896.0,3962.0,4033.0,4625.0,5930.0,7792.0,3896.0,14349.0,0.79
2008/09,Summer,18120.0,11931.0,9483.0,7823.0,6803.0,6605.0,6763.0,6763.0,7187.0,8177.0,10015.0,6605.0,11515.0,0.64
2008/09,Fall,17721,10193,7462,5092,3896,3574,3654,3757,4290,5528,7383,3574,14147,0.8
2008/09,Winter,17688,10686,7774,5309,4052,3735,3773,3579,4053,5261,7413,3579,14109,0.8
2008/09,Spring,16781.0,9714.0,6867.0,4667.0,3583.0,3327.0,3405.0,3390.0,3879.0,5164.0,7083.0,3327.0,13454.0,0.8
2009/10,Summer,16974.0,11556.0,9088.0,7450.0,6363.0,6152.0,6286.0,6306.0,6808.0,8028.0,10223.0,6152.0,10822.0,0.64
2009/10,Fall,16960,10245,7271,5063,4028,3733,3801,3847,4371,5647,7781,3733,13227,0.78
2009/10,Winter,16710,9783,6721,4587,3464,3227,3218,3105,3638,4943,7175,3105,13605,0.81
2009/10,Spring,16773.0,9853.0,6945.0,4650.0,3490.0,3170.0,3213.0,3204.0,3778.0,5143.0,7232.0,3170.0,13603.0,0.81
2010/11,Summer,16401.0,11369.0,8999.0,7289.0,6250.0,6014.0,6131.0,6185.0,6697.0,7988.0,10048.0,6014.0,10387.0,0.63
2010/11,Fall,16374,9453,6435,4278,3275,3039,3172,3219,3768,5058,7171,3039,13335,0.81
2010/11,Winter,15859,8833,5927,3878,2881,2688,2666,2637,3141,4424,6458,2637,13222,0.83
2010/11,Spring,15791.0,8602.0,6214.0,4079.0,2959.0,2684.0,2797.0,2794.0,3269.0,4363.0,6440.0,2684.0,13107.0,0.83
2011/12,Summer,15789.0,9793.0,7652.0,5928.0,4872.0,4624.0,4914.0,4899.0,5363.0,6555.0,8705.0,4624.0,11165.0,0.71
2011/12,Fall,16548,9403,6914,4491,3583,3390,3439,3395,3874,5110,7268,3390,13158,0.8
2011/12,Winter,17126,9899,7266,4998,3917,3737,3732,3709,4208,5503,7745,3709,13417,0.78
2011/12,Spring,17487.0,9903.0,7502.0,5368.0,4225.0,3944.0,3897.0,3799.0,4274.0,5522.0,7666.0,3799.0,13688.0,0.78
2012/13,Summer,17296.0,11682.0,9391.0,7584.0,6547.0,6352.0,6661.0,6567.0,7029.0,8142.0,10360.0,6352.0,10944.0,0.63
2012/13,Fall,17343,9901,7305,5201,4082,3845,3877,3870,4391,5539,7648,3845,13498,0.78
2012/13,Winter,17348,9774,7202,4745,3580,3387,3463,3406,3953,5381,7455,3387,13961,0.8
2012/13,Spring,17452.0,10129.0,7512.0,5244.0,4117.0,3821.0,3910.0,3896.0,4378.0,5682.0,7779.0,3821.0,13631.0,0.78
2013/14,Summer,17545.0,11691.0,9196.0,7339.0,6224.0,5955.0,6221.0,6028.0,6522.0,7900.0,10187.0,5955.0,11590.0,0.66
