year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,1822.0,1286.0,1010.0,752.0,602.0,641.0,675.0,650.0,670.0,735.0,921.0,602.0,1220.0,0.67
2000/01,Fall,1661,1078,772,519,425,479,512,447,461,579,782,425,1236,0.74
2000/01,Winter,1607,1027,759,501,409,447,456,419,435,519,698,409,1198,0.75
2000/01,Spring,1618.0,1086.0,784.0,521.0,407.0,468.0,466.0,462.0,489.0,586.0,739.0,407.0,1211.0,0.75
2001/02,Summer,1637.0,1117.0,853.0,605.0,466.0,497.0,524.0,483.0,538.0,642.0,829.0,466.0,1171.0,0.72
2001/02,Fall,1622,1149,816,552,457,496,509,485,517,619,789,457,1165,0.72
2001/02,Winter,1666,1177,793,574,456,487,529,486,522,644,817,456,1210,0.73
2001/02,Spring,1655.0,1145.0,856.0,590.0,454.0,482.0,511.0,472.0,520.0,666.0,847.0,454.0,1201.0,0.73
2002/03,Summer,1627.0,1121.0,813.0,591.0,456.0,472.0,523.0,445.0,493.0,624.0,829.0,445.0,1182.0,0.73
2002/03,Fall,1395,927,603,380,322,353,362,310,374,484,646,310,1085,0.78
2002/03,Winter,1394,942,591,353,285,307,338,277,338,457,630,277,1117,0.8
2002/03,Spring,1391.0,930.0,619.0,390.0,322.0,375.0,364.0,301.0,374.0,524.0,667.0,301.0,1090.0,0.78
2003/04,Summer,1369.0,919.0,637.0,454.0,389.0,418.0,437.0,387.0,409.0,519.0,679.0,387.0,982.0,0.72
2003/04,Fall,1612,1117,778,544,481,512,559,474,541,675,878,474,1138,0.71
2003/04,Winter,1680,1191,848,619,506,554,567,546,595,704,918,506,1174,0.7
2003/04,Spring,1666.0,1181.0,855.0,620.0,518.0,539.0,558.0,547.0,599.0,717.0,899.0,518.0,1148.0,0.69
2004/05,Summer,1675.0,1200.0,900.0,652.0,540.0,515.0,581.0,540.0,585.0,708.0,885.0,515.0,1160.0,0.69
2004/05,Fall,1679,1162,814,545,450,491,514,483,538,675,855,450,1229,0.73
2004/05,Winter,1679,1108,771,529,431,425,454,456,512,660,853,425,1254,0.75
