year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,4579.0,2027.0,1298.0,894.0,684.0,772.0,824.0,831.0,917.0,1300.0,2053.0,684.0,3895.0,0.85
2000/01,Fall,4654,1925,1063,534,386,417,474,489,593,983,1750,386,4268,0.92
2000/01,Winter,5072,2215,1283,780,589,625,651,657,811,1273,2065,589,4483,0.88
2000/01,Spring,5072.0,2370.0,1441.0,901.0,668.0,710.0,772.0,754.0,895.0,1299.0,1994.0,668.0,4404.0,0.87
2001/02,Summer,5039.0,2594.0,1806.0,1328.0,1079.0,1110.0,1186.0,1195.0,1323.0,1731.0,2492.0,1079.0,3960.0,0.79
2001/02,Fall,5241,2485,1409,863,647,675,751,763,928,1362,2092,647,4594,0.88
2001/02,Winter,5306,2537,1412,893,663,712,768,760,930,1382,2214,663,4643,0.88
2001/02,Spring,5296.0,2421.0,1440.0,917.0,696.0,703.0,782.0,779.0,948.0,1397.0,2148.0,696.0,4600.0,0.87
2002/03,Summer,5287.0,2759.0,1925.0,1458.0,1208.0,1219.0,1322.0,1299.0,1463.0,1918.0,2701.0,1208.0,4079.0,0.77
2002/03,Fall,5382,2611,1458,926,704,766,824,813,1005,1553,2346,704,4678,0.87
2002/03,Winter,5388,2679,1518,887,685,713,786,807,1012,1516,2403,685,4703,0.87
2002/03,Spring,5391.0,2689.0,1625.0,1021.0,765.0,791.0,867.0,877.0,1116.0,1681.0,2478.0,765.0,4626.0,0.86
2003/04,Summer,5467.0,3007.0,2117.0,1587.0,1313.0,1332.0,1431.0,1449.0,1627.0,2158.0,3026.0,1313.0,4154.0,0.76
2003/04,Fall,5162,2325,1198,649,490,534,590,585,833,1342,2167,490,4672,0.91
2003/04,Winter,5148,2311,1215,637,446,456,507,535,769,1299,2088,446,4702,0.91
2003/04,Spring,5152.0,2260.0,1213.0,664.0,483.0,518.0,576.0,625.0,843.0,1411.0,2160.0,483.0,4669.0,0.91
2004/05,Summer,5129.0,2607.0,1667.0,1200.0,1027.0,1029.0,1106.0,1109.0,1295.0,1766.0,2528.0,1027.0,4102.0,0.8
2004/05,Fall,5123,2116,1033,482,331,377,432,441,671,1233,2035,331,4792,0.94
2004/05,Winter,5632,2545,1482,890,711,750,799,839,1116,1762,2604,711,4921,0.87
2004/05,Spring,5610.0,2541.0,1584.0,994.0,749.0,808.0,849.0,899.0,1182.0,1730.0,2612.0,749.0,4861.0,0.87
2005/06,Summer,5661.0,2983.0,2158.0,1685.0,1445.0,1464.0,1538.0,1511.0,1748.0,2285.0,3151.0,1445.0,4216.0,0.74
2005/06,Fall,5609,2480,1525,950,724,784,810,835,1078,1709,2617,724,4885,0.87
2005/06,Winter,5874,2747,1561,994,820,852,899,962,1265,1951,2858,820,5054,0.86
2005/06,Spring,5852.0,2728.0,1619.0,1129.0,909.0,931.0,976.0,1008.0,1265.0,1892.0,2755.0,909.0,4943.0,0.84
2006/07,Summer,5912.0,3241.0,2225.0,1717.0,1484.0,1519.0,1611.0,1625.0,1835.0,2405.0,3265.0,1484.0,4428.0,0.75
2006/07,Fall,5961,2845,1610,1062,857,931,973,981,1223,1867,2820,857,5104,0.86
2006/07,Winter,5938,2494,1335,876,693,736,732,741,1044,1785,2804,693,5245,0.88
2006/07,Spring,5939.0,2572.0,1638.0,1057.0,809.0,846.0,903.0,884.0,1131.0,1753.0,2728.0,809.0,5130.0,0.86
2007/08,Summer,6072.0,3051.0,2103.0,1522.0,1246.0,1249.0,1314.0,1326.0,1605.0,2231.0,3257.0,1246.0,4826.0,0.79
2007/08,Fall,6425,3272,1840,1097,886,943,1021,1044,1339,1980,2985,886,5539,0.86
2007/08,Winter,6316,3465,1812,1038,736,735,826,830,1104,1746,2691,735,5581,0.88
2007/08,Spring,6276.0,3337.0,1932.0,1119.0,778.0,696.0,756.0,790.0,997.0,1636.0,2702.0,696.0,5580.0,0.89
2008/09,Summer,6149.0,3698.0,2431.0,1808.0,1429.0,1356.0,1430.0,1448.0,1632.0,2151.0,3177.0,1356.0,4793.0,0.78
2008/09,Fall,6044,3146,1823,967,576,504,567,620,812,1383,2426,504,5540,0.92
2008/09,Winter,6180,3181,1763,931,589,523,586,564,776,1424,2681,523,5657,0.92
2008/09,Spring,5644.0,2714.0,1332.0,647.0,383.0,363.0,436.0,437.0,655.0,1341.0,2480.0,363.0,5281.0,0.94
2009/10,Summer,5760.0,3196.0,1980.0,1411.0,1106.0,1070.0,1115.0,1136.0,1366.0,1955.0,3199.0,1070.0,4690.0,0.81
2009/10,Fall,5900,3152,1653,894,587,552,616,645,860,1489,2761,552,5348,0.91
2009/10,Winter,5893,3063,1489,758,480,442,486,495,717,1350,2646,442,5451,0.92
2009/10,Spring,5850.0,3075.0,1589.0,789.0,524.0,486.0,529.0,532.0,746.0,1429.0,2663.0,486.0,5364.0,0.92
2010/11,Summer,5504.0,3115.0,2060.0,1416.0,1137.0,1086.0,1168.0,1210.0,1400.0,1936.0,3075.0,1086.0,4418.0,0.8
2010/11,Fall,5292,2530,1220,579,355,334,400,424,657,1270,2423,334,4958,0.94
2010/11,Winter,5042,2321,1090,477,300,285,322,346,579,1224,2304,285,4757,0.94
2010/11,Spring,5068.0,2270.0,1192.0,581.0,388.0,351.0,390.0,392.0,626.0,1206.0,2272.0,351.0,4717.0,0.93
2011/12,Summer,5163.0,2605.0,1614.0,1094.0,873.0,816.0,921.0,942.0,1180.0,1759.0,2890.0,816.0,4347.0,0.84
2011/12,Fall,5579,2609,1393,658,416,383,393,395,611,1265,2511,383,5196,0.93
2011/12,Winter,6383,3190,1906,1166,883,891,927,955,1201,1893,3153,883,5500,0.86
2011/12,Spring,6506.0,3123.0,1942.0,1204.0,941.0,895.0,886.0,887.0,1079.0,1750.0,3058.0,886.0,5620.0,0.86
2012/13,Summer,6039.0,3257.0,2138.0,1594.0,1306.0,1261.0,1336.0,1329.0,1516.0,2115.0,3437.0,1261.0,4778.0,0.79
2012/13,Fall,6056,2995,1670,989,716,694,689,707,922,1543,2786,689,5367,0.89
2012/13,Winter,6060,2942,1679,889,562,503,581,585,816,1468,2699,503,5557,0.92
2012/13,Spring,6057.0,3192.0,1871.0,1121.0,801.0,732.0,778.0,781.0,990.0,1611.0,2849.0,732.0,5325.0,0.88
2013/14,Summer,6115.0,3371.0,2052.0,1443.0,1118.0,1057.0,1160.0,1145.0,1332.0,1971.0,3217.0,1057.0,5058.0,0.83
2013/14,Fall,6090,2824,1572,773,455,388,444,427,722,1333,2601,388,5702,0.94
2013/14,Winter,6092,2759,1560,811,497,470,529,521,756,1370,2607,470,5622,0.92
2013/14,Spring,6091.0,2861.0,1638.0,885.0,588.0,526.0,546.0,561.0,771.0,1365.0,2638.0,526.0,5565.0,0.91
2014/15,Summer,6232,3208,1933,1283,1014,995,1117,1125,1380,2066,3334,995,5237,0.84
2014/15,Fall,6104,2689,1379,575,299,278,324,318,544,1191,2547,278,5826,0.95
2014/15,Winter,6138,2521,1284,525,253,248,295,311,593,1317,2659,248,5890,0.96
2014/15,Spring,6153,2854,1437,648,411,379,442,371,613,1216,2571,371,5782,0.94
