year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,109.0,72.0,58.0,49.0,47.0,43.0,43.0,43.0,44.0,56.0,61.0,43.0,66.0,0.61
2000/01,Fall,111,82,71,54,40,42,38,33,38,43,46,33,78,0.7
2000/01,Winter,117,81,59,49,38,43,39,39,39,45,44,38,79,0.68
2000/01,Spring,118.0,77.0,59.0,50.0,39.0,38.0,43.0,34.0,41.0,39.0,42.0,34.0,84.0,0.71
2001/02,Summer,116.0,77.0,64.0,50.0,50.0,49.0,53.0,52.0,57.0,61.0,66.0,49.0,67.0,0.58
2001/02,Fall,120,88,68,57,58,50,42,37,44,49,52,37,83,0.69
2001/02,Winter,123,89,70,59,53,45,42,44,46,48,60,42,81,0.66
2001/02,Spring,123.0,90.0,70.0,51.0,48.0,45.0,45.0,41.0,50.0,49.0,54.0,41.0,82.0,0.67
2002/03,Summer,126.0,91.0,77.0,62.0,62.0,64.0,61.0,53.0,61.0,64.0,65.0,53.0,73.0,0.58
2002/03,Fall,130,98,78,65,64,63,54,49,54,60,67,49,81,0.62
2002/03,Winter,138,99,73,54,46,47,47,42,46,52,59,42,96,0.7
2002/03,Spring,133.0,92.0,72.0,55.0,45.0,53.0,48.0,45.0,45.0,49.0,61.0,45.0,88.0,0.66
2003/04,Summer,138.0,88.0,81.0,67.0,59.0,58.0,55.0,59.0,56.0,66.0,72.0,55.0,83.0,0.6
2003/04,Fall,140,98,78,59,54,62,58,52,63,61,62,52,88,0.63
2003/04,Winter,145,104,77,61,57,56,51,47,53,58,71,47,98,0.68
2003/04,Spring,145.0,101.0,73.0,58.0,47.0,49.0,54.0,58.0,58.0,56.0,69.0,47.0,98.0,0.68
2004/05,Summer,146.0,104.0,80.0,73.0,66.0,67.0,66.0,54.0,69.0,76.0,80.0,54.0,92.0,0.63
2004/05,Fall,140,93,75,65,46,51,54,51,61,66,70,46,94,0.67
2004/05,Winter,139,90,75,50,46,46,48,46,55,59,64,46,93,0.67
2004/05,Spring,142.0,97.0,70.0,49.0,43.0,48.0,50.0,53.0,55.0,60.0,60.0,43.0,99.0,0.7
2005/06,Summer,163.0,115.0,97.0,76.0,68.0,68.0,65.0,69.0,74.0,85.0,96.0,65.0,98.0,0.6
2005/06,Fall,160,121,91,69,60,62,66,61,72,74,86,60,100,0.63
2005/06,Winter,161,111,82,69,57,53,50,58,57,63,72,50,111,0.69
2005/06,Spring,160.0,111.0,83.0,71.0,61.0,61.0,62.0,64.0,71.0,75.0,87.0,61.0,99.0,0.62
2006/07,Summer,150.0,110.0,89.0,79.0,74.0,75.0,81.0,76.0,83.0,90.0,93.0,74.0,76.0,0.51
2006/07,Fall,147,101,81,65,58,59,67,63,67,77,84,58,89,0.61
2006/07,Winter,146,94,84,56,53,55,56,52,59,69,71,52,94,0.64
2006/07,Spring,149.0,102.0,84.0,69.0,57.0,60.0,57.0,55.0,59.0,65.0,74.0,55.0,94.0,0.63
2007/08,Summer,149.0,103.0,95.0,83.0,74.0,80.0,86.0,81.0,83.0,86.0,98.0,74.0,75.0,0.5
2007/08,Fall,149,108,85,78,73,64,68,75,86,80,87,64,85,0.57
2007/08,Winter,126,86,71,61,49,48,54,54,58,64,66,48,78,0.62
