year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,274.0,181.0,152.0,128.0,116.0,121.0,120.0,119.0,120.0,128.0,153.0,116.0,158.0,0.58
2000/01,Fall,278,195,153,121,110,111,120,111,106,118,140,106,172,0.62
2000/01,Winter,281,188,154,117,102,106,103,100,101,118,148,100,181,0.64
2000/01,Spring,282.0,191.0,167.0,130.0,110.0,109.0,112.0,104.0,108.0,116.0,139.0,104.0,178.0,0.63
2001/02,Summer,281.0,201.0,172.0,149.0,130.0,136.0,135.0,128.0,124.0,133.0,155.0,124.0,157.0,0.56
2001/02,Fall,296,209,171,141,120,124,126,118,121,131,150,118,178,0.6
2001/02,Winter,284,201,161,140,118,112,122,115,114,118,144,112,172,0.61
2001/02,Spring,288.0,203.0,164.0,138.0,117.0,121.0,132.0,119.0,125.0,138.0,150.0,117.0,171.0,0.59
2002/03,Summer,285.0,195.0,161.0,135.0,117.0,125.0,136.0,125.0,123.0,130.0,157.0,117.0,168.0,0.59
2002/03,Fall,280,187,157,125,107,115,115,103,111,119,146,103,177,0.63
2002/03,Winter,280,187,140,118,105,105,106,98,103,114,137,98,182,0.65
2002/03,Spring,283.0,197.0,148.0,118.0,112.0,114.0,113.0,106.0,106.0,126.0,153.0,106.0,177.0,0.63
2003/04,Summer,282.0,197.0,162.0,137.0,126.0,140.0,131.0,125.0,135.0,141.0,165.0,125.0,157.0,0.56
2003/04,Fall,292,214,170,143,123,125,125,110,116,133,153,110,182,0.62
2003/04,Winter,299,204,160,131,115,119,124,115,123,134,154,115,184,0.62
2003/04,Spring,301.0,214.0,163.0,133.0,127.0,132.0,133.0,122.0,122.0,134.0,160.0,122.0,179.0,0.59
2004/05,Summer,304.0,220.0,175.0,149.0,142.0,141.0,146.0,134.0,138.0,149.0,183.0,134.0,170.0,0.56
2004/05,Fall,305,216,174,145,128,130,141,126,126,144,177,126,179,0.59
2004/05,Winter,299,219,183,146,125,121,120,126,120,136,160,120,179,0.6
2004/05,Spring,300.0,213.0,177.0,145.0,132.0,130.0,133.0,129.0,134.0,148.0,171.0,129.0,171.0,0.57
2005/06,Summer,311.0,230.0,185.0,153.0,136.0,146.0,145.0,140.0,142.0,157.0,181.0,136.0,175.0,0.56
2005/06,Fall,299,219,178,151,136,139,126,126,132,145,162,126,173,0.58
2005/06,Winter,315,226,181,154,133,140,143,133,131,156,177,131,184,0.58
2005/06,Spring,309.0,227.0,187.0,162.0,139.0,141.0,138.0,131.0,133.0,149.0,168.0,131.0,178.0,0.58
2006/07,Summer,305.0,226.0,190.0,160.0,143.0,146.0,156.0,152.0,150.0,159.0,185.0,143.0,162.0,0.53
2006/07,Fall,303,224,179,155,136,136,139,132,136,145,174,132,171,0.56
2006/07,Winter,305,213,177,147,135,130,135,129,124,142,167,124,181,0.59
2006/07,Spring,311.0,224.0,189.0,151.0,131.0,141.0,140.0,135.0,137.0,149.0,174.0,131.0,180.0,0.58
