year,quarter,parking_spaces,8am,9am,10am,11am,12am,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,6474.0,4882.0,4507.0,4149.0,3929.0,4041.0,4104.0,4149.0,4236.0,4387.0,4642.0,3929.0,2545.0,0.39
2000/01,Fall,6527,3713,2842,1815,1165,989,935,1024,1377,1738,2422,935,5592,0.86
2000/01,Winter,7203,4196,3280,2466,1881,1675,1588,1622,1931,2363,3060,1588,5615,0.78
2000/01,Spring,7205.0,4267.0,3306.0,2570.0,1962.0,1714.0,1636.0,1712.0,2003.0,2354.0,2980.0,1636.0,5569.0,0.77
2001/02,Summer,7243.0,5646.0,5228.0,4789.0,4533.0,4603.0,4689.0,4693.0,4751.0,4839.0,5054.0,4533.0,2710.0,0.37
2001/02,Fall,7043,4240,3227,2128,1473,1295,1241,1264,1671,2114,2713,1241,5802,0.82
2001/02,Winter,7151,4266,3235,2165,1438,1177,1075,1102,1374,1776,2506,1075,6076,0.85
2001/02,Spring,7150.0,4222.0,3368.0,2355.0,1700.0,1360.0,1171.0,1185.0,1489.0,1792.0,2562.0,1171.0,5979.0,0.84
2002/03,Summer,7044.0,4752.0,4328.0,4007.0,3645.0,3585.0,3707.0,3760.0,3907.0,4063.0,4324.0,3585.0,3459.0,0.49
2002/03,Fall,7024,4231,3078,1876,1188,1001,990,1010,1474,2107,2711,990,6034,0.86
2002/03,Winter,6842,4073,3059,1890,1148,839,761,800,1169,1734,2436,761,6081,0.89
2002/03,Spring,6852.0,4161.0,3236.0,2189.0,1453.0,1191.0,1012.0,873.0,1231.0,1813.0,2433.0,873.0,5979.0,0.87
2003/04,Summer,6732.0,3310.0,2868.0,2762.0,2537.0,2508.0,2630.0,2624.0,2796.0,2986.0,3254.0,2508.0,4224.0,0.63
2003/04,Fall,6699,3527,2660,1719,1205,1070,1075,1022,1342,1870,2306,1022,5677,0.85
2003/04,Winter,6702,3549,2759,1781,1120,951,924,969,1344,1831,2393,924,5778,0.86
2003/04,Spring,6693.0,3368.0,2544.0,1733.0,1182.0,1010.0,923.0,910.0,1289.0,1745.0,2206.0,910.0,5783.0,0.86
2004/05,Summer,6690.0,4844.0,4430.0,4056.0,3849.0,3853.0,3910.0,3915.0,4085.0,4318.0,4635.0,3849.0,2841.0,0.42
2004/05,Fall,7038,3885,3083,2190,1513,1393,1342,1355,1749,2173,2689,1342,5696,0.81
2004/05,Winter,6564,3480,2816,1941,1355,1199,1104,1077,1454,1903,2371,1077,5487,0.84
2004/05,Spring,6662.0,3584.0,2918.0,2073.0,1419.0,1204.0,1124.0,1132.0,1450.0,1848.0,2318.0,1124.0,5538.0,0.83
2005/06,Summer,6560.0,4790.0,4427.0,4105.0,3896.0,3853.0,3871.0,3889.0,4031.0,4328.0,4612.0,3853.0,2707.0,0.41
2005/06,Fall,6460,3644,2974,2080,1476,1332,1261,1253,1519,1999,2548,1253,5207,0.81
2005/06,Winter,6452,3586,2898,2111,1523,1287,1181,1197,1442,1901,2480,1181,5271,0.82
