year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,196.0,61.0,66.0,61.0,51.0,51.0,62.0,67.0,48.0,48.0,56.0,48.0,148.0,0.76
2000/01,Fall,352,113,137,135,141,126,135,140,127,117,106,106,246,0.7
2000/01,Winter,360,129,149,140,145,148,143,157,140,125,118,118,242,0.67
2000/01,Spring,365.0,140.0,164.0,157.0,151.0,149.0,152.0,155.0,146.0,137.0,131.0,131.0,234.0,0.64
2001/02,Summer,360.0,157.0,177.0,170.0,161.0,160.0,156.0,165.0,155.0,146.0,142.0,142.0,218.0,0.61
2001/02,Fall,359,124,148,139,140,127,135,145,130,122,106,106,253,0.7
2001/02,Winter,349,127,150,144,150,141,148,142,121,112,118,112,237,0.68
2001/02,Spring,351.0,136.0,149.0,146.0,145.0,137.0,143.0,139.0,131.0,117.0,120.0,117.0,234.0,0.67
2002/03,Summer,356.0,151.0,165.0,160.0,158.0,144.0,153.0,150.0,133.0,128.0,130.0,128.0,228.0,0.64
2002/03,Fall,338,115,129,118,115,111,116,117,101,91,91,91,247,0.73
2002/03,Winter,337,110,119,105,109,111,107,105,97,91,95,91,246,0.73
2002/03,Spring,344.0,125.0,129.0,118.0,121.0,123.0,122.0,117.0,113.0,101.0,103.0,101.0,243.0,0.71
2003/04,Summer,351.0,115.0,130.0,124.0,130.0,124.0,127.0,124.0,110.0,109.0,112.0,109.0,242.0,0.69
2003/04,Fall,351,113,132,124,126,118,119,116,104,93,105,93,258,0.74
2003/04,Winter,362,119,129,128,119,123,122,112,100,92,104,92,270,0.75
2003/04,Spring,330.0,107.0,112.0,107.0,109.0,106.0,89.0,106.0,100.0,90.0,94.0,89.0,241.0,0.73
2004/05,Summer,316.0,110.0,114.0,105.0,109.0,104.0,113.0,108.0,101.0,92.0,97.0,92.0,224.0,0.71
2004/05,Fall,310,108,102,103,106,100,103,101,97,99,94,94,216,0.7
2004/05,Winter,312,103,111,107,101,102,98,107,95,94,92,92,220,0.71
2004/05,Spring,191.0,92.0,92.0,85.0,83.0,82.0,75.0,85.0,75.0,72.0,73.0,72.0,119.0,0.62
2005/06,Summer,207.0,91.0,96.0,97.0,98.0,98.0,96.0,94.0,84.0,82.0,80.0,80.0,127.0,0.61
2005/06,Fall,226,118,121,114,109,107,92,107,100,97,93,92,134,0.59
2005/06,Winter,204,93,97,88,88,88,75,86,76,74,65,65,139,0.68
2005/06,Spring,214.0,97.0,104.0,96.0,98.0,90.0,86.0,98.0,81.0,75.0,74.0,74.0,140.0,0.65
2006/07,Summer,207.0,87.0,102.0,104.0,103.0,98.0,86.0,104.0,88.0,79.0,75.0,75.0,132.0,0.64
2006/07,Fall,214,97,103,106,104,96,89,100,84,83,81,81,133,0.62
2006/07,Winter,207,91,108,100,99,95,89,101,94,95,94,89,118,0.57
2006/07,Spring,207.0,102.0,105.0,105.0,103.0,96.0,90.0,97.0,88.0,82.0,80.0,80.0,127.0,0.61
2007/08,Summer,212.0,106.0,111.0,110.0,115.0,108.0,99.0,114.0,96.0,88.0,87.0,87.0,125.0,0.59
2007/08,Fall,225,109,116,117,119,114,110,118,98,97,89,89,136,0.6
2007/08,Winter,226,103,112,113,110,112,102,107,92,87,87,87,139,0.62
2007/08,Spring,226.0,109.0,98.0,106.0,97.0,100.0,95.0,97.0,93.0,95.0,93.0,93.0,133.0,0.59
2008/09,Summer,227.0,100.0,98.0,98.0,107.0,106.0,105.0,109.0,102.0,84.0,79.0,79.0,148.0,0.65
2008/09,Fall,228,91,96,108,104,97,96,98,99,83,81,81,147,0.64
2008/09,Winter,219,83,99,97,105,109,96,103,92,82,72,72,147,0.67
2008/09,Spring,222.0,83.0,104.0,101.0,101.0,102.0,92.0,102.0,83.0,76.0,72.0,72.0,150.0,0.68
2009/10,Summer,220.0,75.0,85.0,100.0,100.0,101.0,95.0,95.0,89.0,75.0,70.0,70.0,150.0,0.68
2009/10,Fall,211,82,97,100,101,100,84,100,92,80,69,69,142,0.67
2009/10,Winter,220,67,85,88,91,93,90,78,76,74,70,67,153,0.7
2009/10,Spring,227.0,78.0,82.0,91.0,83.0,83.0,80.0,92.0,81.0,76.0,70.0,70.0,157.0,0.69
2010/11,Summer,233.0,87.0,100.0,101.0,105.0,101.0,88.0,102.0,92.0,91.0,76.0,76.0,157.0,0.67
2010/11,Fall,236,88,103,105,99,99,101,102,94,88,81,81,155,0.66
2010/11,Winter,230,82,103,102,102,98,90,97,92,78,71,71,159,0.69
2010/11,Spring,232.0,93.0,107.0,110.0,109.0,108.0,97.0,102.0,90.0,83.0,82.0,82.0,150.0,0.65
2011/12,Summer,233.0,90.0,108.0,115.0,111.0,108.0,104.0,108.0,88.0,80.0,80.0,80.0,153.0,0.66
2011/12,Fall,253,93,112,112,108,118,98,116,104,85,92,85,168,0.66
2011/12,Winter,256,109,117,120,119,120,103,113,96,89,91,89,167,0.65
2011/12,Spring,257.0,101.0,120.0,120.0,118.0,119.0,113.0,116.0,105.0,95.0,97.0,95.0,162.0,0.63
2012/13,Summer,255.0,102.0,118.0,124.0,117.0,106.0,108.0,117.0,99.0,91.0,99.0,91.0,164.0,0.64
2012/13,Fall,249,90,101,106,99,91,90,96,99,86,82,82,167,0.67
2012/13,Winter,249,102,114,115,98,110,96,105,98,87,97,87,162,0.65
2012/13,Spring,250.0,93.0,109.0,107.0,106.0,105.0,97.0,106.0,92.0,78.0,86.0,78.0,172.0,0.69
2013/14,Summer,245.0,91.0,101.0,99.0,101.0,105.0,99.0,97.0,89.0,74.0,91.0,74.0,171.0,0.7
2013/14,Fall,240,78,91,86,83,86,73,84,79,66,72,66,174,0.73
2013/14,Winter,238,80,93,86,82,92,75,83,76,69,76,69,169,0.71
2013/14,Spring,237.0,82.0,90.0,93.0,88.0,94.0,92.0,89.0,82.0,71.0,78.0,71.0,166.0,0.7
2014/15,Summer,237,76,94,95,91,88,85,86,76,65,79,65,172,0.73
2014/15,Fall,236,74,85,91,87,86,73,73,70,70,75,70,166,0.7
2014/15,Winter,234,77,86,72,80,79,69,74,79,70,73,69,165,0.71
2014/15,Spring,240,81,90,90,83,91,80,92,76,70,75,70,170,0.71
