year,quarter,parking_spaces,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,peak_empty_spaces,peak_occupied_spaces,%_occupied
2000/01,Summer,581.0,372.0,276.0,194.0,163.0,159.0,176.0,204.0,209.0,236.0,246.0,159.0,422.0,0.73
2000/01,Fall,722,481,376,268,226,195,195,189,212,211,206,189,533,0.74
2000/01,Winter,726,464,335,236,185,184,198,200,202,236,217,184,542,0.75
2000/01,Spring,711.0,434.0,295.0,200.0,166.0,149.0,145.0,144.0,174.0,197.0,189.0,144.0,567.0,0.8
2001/02,Summer,706.0,512.0,424.0,330.0,273.0,279.0,287.0,288.0,314.0,350.0,349.0,273.0,433.0,0.61
2001/02,Fall,711,461,317,204,166,160,165,171,191,201,189,160,551,0.77
2001/02,Winter,680,394,267,186,153,125,137,128,166,159,150,125,555,0.82
2001/02,Spring,680.0,393.0,297.0,191.0,147.0,136.0,152.0,141.0,172.0,182.0,147.0,136.0,544.0,0.8
2002/03,Summer,682.0,496.0,395.0,285.0,220.0,197.0,237.0,238.0,275.0,300.0,295.0,197.0,485.0,0.71
2002/03,Fall,725,461,296,211,191,203,207,215,245,235,227,191,534,0.74
2002/03,Winter,726,411,290,213,162,158,157,170,205,197,190,157,569,0.78
2002/03,Spring,726.0,495.0,330.0,219.0,186.0,180.0,188.0,184.0,215.0,223.0,217.0,180.0,546.0,0.75
2003/04,Summer,723.0,534.0,405.0,283.0,233.0,228.0,274.0,290.0,318.0,346.0,354.0,228.0,495.0,0.68
2003/04,Fall,672,402,257,169,135,146,166,165,184,187,174,135,537,0.8
2003/04,Winter,672,377,247,156,107,105,119,128,161,160,139,105,567,0.84
2003/04,Spring,672.0,389.0,244.0,155.0,123.0,119.0,135.0,145.0,176.0,185.0,170.0,119.0,553.0,0.82
2004/05,Summer,678.0,493.0,398.0,265.0,216.0,217.0,253.0,242.0,283.0,308.0,318.0,216.0,462.0,0.68
2004/05,Fall,668,376,222,140,89,95,117,119,156,150,138,89,579,0.87
2004/05,Winter,705,363,224,129,101,86,94,110,147,154,143,86,619,0.88
2004/05,Spring,685.0,349.0,235.0,128.0,96.0,109.0,111.0,121.0,145.0,142.0,131.0,96.0,589.0,0.86
2005/06,Summer,663.0,469.0,381.0,267.0,191.0,192.0,200.0,221.0,265.0,295.0,298.0,191.0,472.0,0.71
2005/06,Fall,653,361,243,137,105,96,109,123,146,161,157,96,557,0.85
2005/06,Winter,661,336,227,163,120,113,113,116,151,139,120,113,548,0.83
2005/06,Spring,650.0,332.0,207.0,150.0,106.0,93.0,98.0,108.0,133.0,137.0,134.0,93.0,557.0,0.86
2006/07,Summer,661.0,428.0,324.0,220.0,190.0,191.0,198.0,204.0,254.0,274.0,270.0,190.0,471.0,0.71
2006/07,Fall,728,404,264,191,167,159,166,170,198,210,206,159,569,0.78
2006/07,Winter,642,326,221,164,122,116,137,153,161,161,175,116,526,0.82
2006/07,Spring,500.0,243.0,142.0,99.0,77.0,95.0,98.0,94.0,94.0,84.0,79.0,77.0,423.0,0.85
2007/08,Summer,504.0,351.0,265.0,193.0,155.0,164.0,178.0,179.0,203.0,229.0,241.0,155.0,349.0,0.69
2007/08,Fall,501,300,186,97,74,73,99,105,135,141,113,73,428,0.85
2007/08,Winter,493,312,186,122,71,61,80,85,100,112,95,61,432,0.88
2007/08,Spring,480.0,285.0,175.0,98.0,70.0,75.0,77.0,87.0,93.0,90.0,90.0,70.0,410.0,0.85
2008/09,Summer,1458.0,898.0,600.0,410.0,282.0,305.0,362.0,340.0,367.0,495.0,633.0,282.0,1176.0,0.81
2008/09,Fall,1455,797,520,256,143,149,179,164,208,339,483,143,1312,0.9
2008/09,Winter,1453,946,627,347,173,180,238,164,233,334,467,164,1289,0.89
2008/09,Spring,1439.0,923.0,594.0,301.0,161.0,182.0,220.0,201.0,244.0,363.0,516.0,161.0,1278.0,0.89
